date,pakistan_west,china_east,gulf_energy,us_trade,shipping
2026-06-30,0.0327,0.0241,1.2895,0.0586,0.0879
2026-07-05,0.0191,0.0121,1.1497,,
2026-07-06,0.0309,0.0079,1.0861,,
2026-07-07,0.0130,0.0061,1.5375,,
2026-07-08,0.0550,0.0209,2.9937,,
2026-07-09,0.0175,0.0163,2.1651,,
2026-07-10,0.0241,0.0157,1.5013,,
2026-07-11,0.0294,0.0260,1.4794,,
2026-07-12,0.0099,0.0341,2.3301,,
2026-07-13,0.0085,0.0183,2.1768,,
2026-07-14,0.0153,0.0147,2.5796,,
2026-07-15,0.0134,0.0169,1.8110,,
2026-07-16,0.0158,0.0163,1.7567,,
2026-07-17,0.0187,0.0204,1.5415,,
2026-07-18,0.0249,0.0169,1.6539,,
2026-07-19,0.0091,0.0181,1.9022,,
2026-07-20,0.0185,0.0185,1.9658,,
2026-07-21,0.0362,0.0081,1.6607,,
