date,hormuz,bab_el_mandeb,suez,malacca
2019-01-01,0.0081,0.0007,0.0134,0.002
2019-01-02,0.0134,0.0009,0.0159,0.0034
2019-01-03,0.0036,0.0012,0.0098,0.0066
2019-01-04,0.0176,0.0008,0.0232,0.0027
2019-01-05,0.0074,0.0009,0.0108,0.0022
2019-01-06,0.0083,0.001,0.0156,0.001
2019-01-07,0.0075,0.0018,0.0213,0.0026
2019-01-08,0.0032,0.0011,0.0161,0.0028
2019-01-09,0.0023,0.0007,0.0095,0.0016
2019-01-10,0.0041,0.0009,0.0168,0.0034
2019-01-11,0.0046,0.0004,0.0116,0.0046
2019-01-12,0.0084,0.0009,0.0156,0.0043
2019-01-13,0.0032,0.0019,0.0191,0.0013
2019-01-14,0.0105,0.0015,0.0191,0.0073
2019-01-15,0.009,0.0007,0.0156,0.0032
2019-01-16,0.0067,0.0016,0.016,0.0047
2019-01-17,0.0026,0.0009,0.0139,0.0035
2019-01-18,0.0074,0.0011,0.01,0.0013
2019-01-19,0.0121,0.0008,0.018,0.0022
2019-01-20,0.0032,0.0016,0.0207,0.0013
2019-01-21,0.0061,0.0006,0.018,0.003
2019-01-22,0.0048,0.0005,0.0167,0.0023
2019-01-23,0.0031,0.0002,0.0136,0.0085
2019-01-24,0.012,0.0005,0.0135,0.0056
2019-01-25,0.004,0.0006,0.0132,0.0039
2019-01-26,0.0038,0.0012,0.0245,0.0032
2019-01-27,0.007,0.0,0.0247,0.0035
2019-01-28,0.0058,0.0028,0.0261,0.0036
2019-01-29,0.0056,0.0171,0.0194,0.0024
2019-01-30,0.0052,0.0314,0.0132,0.0052
2019-01-31,0.0044,0.0086,0.0281,0.0049
2019-02-01,0.0034,0.0032,0.0128,0.0068
2019-02-02,0.0033,0.0025,0.01,0.0025
2019-02-03,0.0062,0.0031,0.0214,0.0028
2019-02-04,0.0022,0.0012,0.0127,0.0027
2019-02-05,0.0043,0.0009,0.0089,0.0021
2019-02-06,0.0019,0.0019,0.0105,0.0014
2019-02-07,0.0021,0.0012,0.0117,0.004
2019-02-08,0.0028,0.0004,0.0083,0.0024
2019-02-09,0.0083,0.0011,0.0129,0.0017
2019-02-10,0.0083,0.0035,0.0105,0.0019
2019-02-11,0.0026,0.0011,0.0094,0.003
2019-02-12,0.0049,0.0023,0.017,0.0113
2019-02-13,0.0042,0.0012,0.0185,0.0032
2019-02-14,0.0057,0.0013,0.0128,0.005
2019-02-15,0.0049,0.0013,0.0108,0.0049
2019-02-16,0.007,0.0017,0.0193,0.0042
2019-02-17,0.0209,0.0013,0.0234,0.0061
2019-02-18,0.0064,0.0026,0.0143,0.0036
2019-02-19,0.0039,0.0016,0.0144,0.0041
2019-02-20,0.0027,0.0007,0.0154,0.0027
2019-02-21,0.0227,0.0017,0.0122,0.003
2019-02-22,0.0254,0.0016,0.0077,0.0018
2019-02-23,0.0707,0.0006,0.0112,0.0014
2019-02-24,0.0802,0.0061,0.0146,0.0034
2019-02-25,0.0123,0.0047,0.0108,0.0065
2019-02-26,0.0102,0.001,0.0199,0.0073
2019-02-27,0.0035,0.0017,0.0086,0.003
2019-02-28,0.0018,0.0003,0.0072,0.0024
2019-03-01,0.0025,0.0016,0.0079,0.0016
2019-03-02,0.0006,0.0009,0.0107,0.0009
2019-03-03,0.0043,0.0003,0.0192,0.0071
2019-03-04,0.0011,0.0008,0.0126,0.0079
2019-03-05,0.0007,0.0005,0.0157,0.0042
2019-03-06,0.0023,0.0009,0.0146,0.0034
2019-03-07,0.0053,0.0009,0.0072,0.0079
2019-03-08,0.0037,0.0024,0.0107,0.0067
2019-03-09,0.002,0.0032,0.0081,0.002
2019-03-10,0.0034,0.0015,0.0185,0.0012
2019-03-11,0.0019,0.0011,0.0215,0.0043
2019-03-12,0.0034,0.002,0.0134,0.0053
2019-03-13,0.0071,0.0033,0.0134,0.0055
2019-03-14,0.0073,0.0003,0.0194,0.0032
2019-03-15,0.0051,0.0002,0.0082,0.0024
2019-03-16,0.0043,0.0003,0.0083,0.0031
2019-03-17,0.0041,0.0032,0.0246,0.0013
2019-03-18,0.0009,0.0024,0.0126,0.0028
2019-03-19,0.0015,0.0015,0.0107,0.0019
2019-03-20,0.0012,0.0012,0.0169,0.0015
2019-03-21,0.0024,0.0005,0.0159,0.0021
2019-03-22,0.0021,0.0016,0.0107,0.0032
2019-03-23,0.0017,0.0006,0.0125,0.0033
2019-03-24,0.012,0.0022,0.017,0.0003
2019-03-25,0.0078,0.0018,0.0122,0.0037
2019-03-26,0.0038,0.0027,0.0098,0.0038
2019-03-27,0.0038,0.0013,0.0109,0.0033
2019-03-28,0.0008,0.0007,0.0075,0.0029
2019-03-29,0.0024,0.0012,0.0084,0.0021
2019-03-30,0.0039,0.0047,0.0097,0.005
2019-03-31,0.0009,0.0021,0.0119,0.0039
2019-04-01,0.0026,0.0007,0.0458,0.0035
2019-04-02,0.0015,0.001,0.0191,0.0049
2019-04-03,0.0077,0.0009,0.0142,0.0068
2019-04-04,0.0034,0.0007,0.0107,0.0044
2019-04-05,0.0022,0.0004,0.0221,0.0044
2019-04-06,0.0182,0.0003,0.0182,0.0023
2019-04-07,0.0059,0.0012,0.0249,0.0022
2019-04-08,0.0059,0.0013,0.0129,0.004
2019-04-09,0.0164,0.0007,0.0149,0.0027
2019-04-10,0.0092,0.0008,0.016,0.0018
2019-04-11,0.0047,0.0008,0.0146,0.0055
2019-04-12,0.0041,0.0009,0.0095,0.0049
2019-04-13,0.0045,0.0008,0.0112,0.0045
2019-04-14,0.0121,0.0015,0.0185,0.0019
2019-04-15,0.0035,0.0017,0.0161,0.0028
2019-04-16,0.0055,0.0017,0.0131,0.0028
2019-04-17,0.0054,0.0747,0.0124,0.0045
2019-04-18,0.0028,0.0047,0.0152,0.0037
2019-04-19,0.0023,0.0012,0.0087,0.0029
