date,india,indonesia,pakistan,vietnam
2017-01-01,0.0881,0.0612,0.0381,0.0093
2017-01-02,0.107,0.0221,0.038,0.0084
2017-01-03,0.0311,0.0164,0.0189,0.0096
2017-01-04,0.0315,0.0061,0.0182,0.0092
2017-01-05,0.0361,0.0058,0.0252,0.012
2017-01-06,0.0192,0.0053,0.0206,0.0077
2017-01-07,0.0202,0.0038,0.0169,0.01
2017-01-08,0.0327,0.0025,0.0432,0.0057
2017-01-09,0.0253,0.0103,0.0238,0.0077
2017-01-10,0.0306,0.0103,0.0312,0.0278
2017-01-11,0.0201,0.015,0.0177,0.0123
2017-01-12,0.0194,0.0056,0.0141,0.0078
2017-01-13,0.0267,0.0045,0.0246,0.0105
2017-01-14,0.0301,0.0043,0.0279,0.0072
2017-01-15,0.0416,0.0113,0.0297,0.0122
2017-01-16,0.0609,0.0072,0.0266,0.0162
2017-01-17,0.0613,0.0058,0.0328,0.0163
2017-01-18,0.0408,0.0053,0.019,0.0165
2017-01-19,0.0363,0.0084,0.015,0.0224
2017-01-20,0.0669,0.0071,0.0275,0.0227
2017-01-21,0.0429,0.0088,0.0527,0.0184
2017-01-22,0.0388,0.0053,0.0288,0.0177
2017-01-23,0.0306,0.0084,0.0212,0.0223
2017-01-24,0.0403,0.0103,0.0127,0.0237
2017-01-25,0.0261,0.0077,0.0118,0.0613
2017-01-26,0.0259,0.0042,0.0127,0.0305
2017-01-27,0.0391,0.0054,0.0138,0.0212
2017-01-28,0.03,0.0063,0.0387,0.0467
2017-01-29,0.0305,0.0089,0.0628,0.0167
2017-01-30,0.0209,0.0052,0.0177,0.0155
2017-01-31,0.0253,0.006,0.0155,0.008
2017-02-01,0.0293,0.0041,0.0183,0.0085
2017-02-02,0.0238,0.0049,0.0104,0.0099
2017-02-03,0.0263,0.0044,0.0292,0.0153
2017-02-04,0.0272,0.0022,0.0137,0.0122
2017-02-05,0.0376,0.0055,0.0268,0.0102
2017-02-06,0.0297,0.0069,0.0141,0.0142
2017-02-07,0.0272,0.0072,0.0209,0.0268
2017-02-08,0.022,0.0064,0.0185,0.0215
2017-02-09,0.0277,0.0126,0.0183,0.0143
2017-02-10,0.0184,0.0054,0.0129,0.0184
2017-02-11,0.0247,0.0026,0.0125,0.0118
2017-02-12,0.0245,0.005,0.0148,0.0096
2017-02-13,0.0272,0.0089,0.0198,0.017
2017-02-14,0.031,0.0064,0.0154,0.0126
2017-02-15,0.0539,0.0074,0.0222,0.0162
2017-02-16,0.0541,0.0052,0.0168,0.0103
2017-02-17,0.0267,0.0036,0.0202,0.0103
2017-02-18,0.0403,0.0038,0.0267,0.0079
2017-02-19,0.0315,0.0063,0.0191,0.0134
2017-02-20,0.0267,0.0049,0.0138,0.0223
2017-02-21,0.0324,0.0047,0.0161,0.0874
2017-02-22,0.0213,0.0054,0.0099,0.0335
2017-02-23,0.0156,0.0024,0.0177,0.0077
2017-02-24,0.0165,0.0024,0.0171,0.0111
2017-02-25,0.019,0.0033,0.0141,0.0071
2017-02-26,0.0167,0.0024,0.0157,0.01
2017-02-27,0.0186,0.0062,0.0091,0.0066
2017-02-28,0.0188,0.0038,0.0113,0.0066
2017-03-01,0.0167,0.0068,0.013,0.0075
2017-03-02,0.0249,0.0049,0.0482,0.0063
2017-03-03,0.0264,0.0034,0.0177,0.004
2017-03-04,0.0262,0.0013,0.0129,0.0022
2017-03-05,0.0219,0.0031,0.0157,0.0046
2017-03-06,0.021,0.0023,0.0139,0.0081
2017-03-07,0.0239,0.0062,0.0115,0.0072
2017-03-08,0.0162,0.0035,0.0156,0.0041
2017-03-09,0.021,0.0131,0.0111,0.0047
2017-03-10,0.0159,0.0087,0.0178,0.0056
2017-03-11,0.0291,0.0081,0.0195,0.0062
2017-03-12,0.0199,0.0052,0.0274,0.009
2017-03-13,0.0134,0.0053,0.012,0.0068
2017-03-14,0.0106,0.0025,0.0093,0.0046
2017-03-15,0.0163,0.0036,0.0292,0.0113
2017-03-16,0.0212,0.0027,0.0475,0.0102
2017-03-17,0.0177,0.0135,0.0363,0.0056
2017-03-18,0.0186,0.0103,0.0145,0.0071
2017-03-19,0.0434,0.0087,0.0282,0.0063
2017-03-20,0.0271,0.0055,0.0154,0.0076
2017-03-21,0.0236,0.0044,0.0193,0.0037
2017-03-22,0.0218,0.0042,0.008,0.0049
2017-03-23,0.0196,0.0048,0.0098,0.004
2017-03-24,0.0195,0.0038,0.0134,0.005
2017-03-25,0.016,0.0043,0.0117,0.0059
2017-03-26,0.0173,0.0033,0.0213,0.0093
2017-03-27,0.013,0.0013,0.0134,0.0042
2017-03-28,0.0182,0.0026,0.0178,0.0047
2017-03-29,0.0105,0.0024,0.021,0.008
2017-03-30,0.0139,0.002,0.0304,0.0247
2017-03-31,0.0349,0.0024,0.0218,0.0045
2017-04-01,0.0278,0.0073,0.0169,0.0096
2017-04-02,0.0217,0.0042,0.018,0.0053
2017-04-03,0.0161,0.0031,0.0145,0.008
2017-04-04,0.0233,0.0095,0.0111,0.0062
2017-04-05,0.0168,0.0043,0.011,0.0057
2017-04-06,0.019,0.0053,0.0084,0.0108
2017-04-07,0.0161,0.0038,0.0122,0.0091
2017-04-08,0.0241,0.003,0.0132,0.0058
2017-04-09,0.0256,0.0045,0.0213,0.0064
2017-04-10,0.0282,0.0071,0.0224,0.0063
2017-04-11,0.0293,0.0156,0.022,0.0058
2017-04-12,0.0493,0.0536,0.0134,0.0088
2017-04-13,0.0293,0.0073,0.0139,0.0098
2017-04-14,0.0243,0.0114,0.0895,0.0114
2017-04-15,0.0323,0.0079,0.0606,0.012
2017-04-16,0.0198,0.0035,0.0233,0.009
2017-04-17,0.0337,0.0047,0.0263,0.0152
2017-04-18,0.0251,0.0043,0.0196,0.0083
2017-04-19,0.0472,0.005,0.0157,0.0046
2017-04-20,0.0217,0.0044,0.0094,0.0048
2017-04-21,0.0713,0.0038,0.0132,0.0063
2017-04-22,0.0149,0.0048,0.0142,0.0068
2017-04-23,0.0191,0.0044,0.0392,0.0058
2017-04-24,0.04,0.0031,0.0706,0.0049
2017-04-25,0.0298,0.0057,0.0226,0.0074
2017-04-26,0.0352,0.0059,0.0134,0.0084
2017-04-27,0.028,0.0024,0.0299,0.0063
2017-04-28,0.0247,0.0033,0.0251,0.0053
2017-04-29,0.0381,0.0016,0.0144,0.0205
2017-04-30,0.025,0.0035,0.0154,0.0087
2017-05-01,0.025,0.003,0.0135,0.0047
2017-05-02,0.045,0.0039,0.0259,0.0069
2017-05-03,0.0224,0.0061,0.0098,0.0119
2017-05-04,0.0137,0.0078,0.0116,0.0054
2017-05-05,0.0166,0.0017,0.0252,0.0057
2017-05-06,0.0136,0.0044,0.0421,0.0061
2017-05-07,0.0206,0.0021,0.0213,0.0082
2017-05-08,0.0275,0.0031,0.0277,0.0068
2017-05-09,0.0243,0.003,0.0251,0.0032
2017-05-10,0.0144,0.0019,0.0115,0.0044
2017-05-11,0.0215,0.0025,0.0162,0.0071
2017-05-12,0.0353,0.0087,0.038,0.0052
2017-05-13,0.0231,0.0058,0.024,0.0035
2017-05-14,0.0439,0.0043,0.0252,0.004
2017-05-15,0.0217,0.0043,0.0209,0.0035
2017-05-16,0.0389,0.0136,0.0134,0.0126
2017-05-17,0.0205,0.0059,0.0137,0.0059
2017-05-18,0.0118,0.0028,0.0118,0.0031
2017-05-19,0.0188,0.0037,0.0168,0.0404
2017-05-20,0.0258,0.0235,0.0142,0.0161
2017-05-21,0.032,0.0023,0.0166,0.0086
2017-05-22,0.025,0.007,0.0129,0.0084
2017-05-23,0.0341,0.0096,0.0212,0.0052
2017-05-24,0.0433,0.0108,0.0285,0.0096
2017-05-25,0.04,0.0219,0.0375,0.0093
2017-05-26,0.0247,0.0512,0.0168,0.008
2017-05-27,0.0229,0.0168,0.0225,0.0321
2017-05-28,0.0303,0.0245,0.0312,0.0143
2017-05-29,0.0322,0.0756,0.039,0.0088
2017-05-30,0.0189,0.0644,0.0126,0.0097
2017-05-31,0.0298,0.0162,0.0733,0.0074
2017-06-01,0.0324,0.0271,0.0236,0.007
2017-06-02,0.0328,0.0115,0.0215,0.0072
2017-06-03,0.0438,0.0246,0.0321,0.0086
2017-06-04,0.0344,0.0216,0.0296,0.0084
2017-06-05,0.0435,0.0223,0.0246,0.0064
2017-06-06,0.0372,0.0092,0.0551,0.005
2017-06-07,0.0347,0.0145,0.0277,0.0071
2017-06-08,0.022,0.0103,0.0251,0.0069
2017-06-09,0.0184,0.0064,0.0232,0.0023
2017-06-10,0.02,0.0067,0.0147,0.0025
2017-06-11,0.0643,0.0302,0.0467,0.0033
2017-06-12,0.0225,0.0122,0.0135,0.0065
2017-06-13,0.0241,0.0076,0.0177,0.0218
2017-06-14,0.0221,0.007,0.0203,0.006
2017-06-15,0.0274,0.0063,0.0207,0.0054
2017-06-16,0.0911,0.0077,0.0839,0.0035
2017-06-17,0.0311,0.0168,0.0238,0.0027
2017-06-18,0.0195,0.0393,0.018,0.005
2017-06-19,0.0252,0.0199,0.0239,0.0062
2017-06-20,0.0284,0.01,0.0387,0.0094
2017-06-21,0.0174,0.0117,0.0176,0.0042
2017-06-22,0.0304,0.0068,0.0224,0.0098
2017-06-23,0.0817,0.0261,0.1207,0.0036
2017-06-24,0.0441,0.0257,0.1117,0.0045
2017-06-25,0.026,0.0228,0.036,0.0078
2017-06-26,0.0229,0.0211,0.0196,0.0094
2017-06-27,0.0363,0.0054,0.0281,0.0108
2017-06-28,0.0373,0.0041,0.0141,0.0099
2017-06-29,0.0336,0.0124,0.0204,0.0174
2017-06-30,0.0273,0.006,0.0188,0.016
2017-07-01,0.032,0.0136,0.0222,0.0136
2017-07-02,0.0247,0.0137,0.0207,0.0191
2017-07-03,0.0307,0.009,0.016,0.0149
2017-07-04,0.045,0.0052,0.0211,0.0222
2017-07-05,0.0416,0.0047,0.0291,0.0146
2017-07-06,0.0536,0.0057,0.0215,0.0109
2017-07-07,0.0994,0.0659,0.0189,0.0726
2017-07-08,0.0389,0.0062,0.026,0.0146
2017-07-09,0.0374,0.0072,0.026,0.0109
2017-07-10,0.0329,0.0051,0.0271,0.0081
2017-07-11,0.0477,0.0061,0.0396,0.008
2017-07-12,0.0294,0.0089,0.0296,0.0113
2017-07-13,0.0273,0.0029,0.0251,0.0074
2017-07-14,0.0334,0.0041,0.0263,0.0106
2017-07-15,0.0474,0.012,0.0288,0.0147
2017-07-16,0.0343,0.0041,0.019,0.007
2017-07-17,0.0361,0.0079,0.0229,0.005
2017-07-18,0.0372,0.0045,0.0205,0.005
2017-07-19,0.0471,0.0121,0.0311,0.0105
2017-07-20,0.0553,0.0038,0.0298,0.0079
2017-07-21,0.0432,0.0081,0.0332,0.0087
2017-07-22,0.045,0.0154,0.0333,0.0087
2017-07-23,0.0382,0.0191,0.0245,0.0087
2017-07-24,0.0473,0.0086,0.0375,0.0108
2017-07-25,0.0331,0.0052,0.0235,0.0046
2017-07-26,0.0298,0.0056,0.0229,0.0077
2017-07-27,0.0339,0.0072,0.0228,0.0064
2017-07-28,0.0773,0.0089,0.0446,0.0066
2017-07-29,0.0381,0.0075,0.0459,0.0075
2017-07-30,0.0393,0.0038,0.0328,0.0048
2017-07-31,0.0347,0.0033,0.0192,0.0097
2017-08-01,0.0457,0.0043,0.0359,0.0067
2017-08-02,0.0272,0.0074,0.0243,0.0174
2017-08-03,0.0479,0.0049,0.0334,0.0111
2017-08-04,0.0661,0.0063,0.0198,0.0088
2017-08-05,0.0622,0.004,0.0259,0.0098
2017-08-06,0.0421,0.0075,0.0302,0.0185
2017-08-07,0.0362,0.0092,0.0201,0.0157
2017-08-08,0.043,0.0068,0.027,0.0247
2017-08-09,0.0569,0.0105,0.0234,0.0146
2017-08-10,0.0412,0.0116,0.0272,0.0157
2017-08-11,0.0542,0.0031,0.0376,0.0149
2017-08-12,0.0621,0.0027,0.0731,0.0186
2017-08-13,0.05,0.0039,0.0511,0.0191
2017-08-14,0.0596,0.0073,0.0345,0.0164
2017-08-15,0.047,0.0078,0.0247,0.0195
2017-08-16,0.046,0.0045,0.0222,0.0084
2017-08-17,0.0513,0.0061,0.0276,0.008
2017-08-18,0.071,0.0063,0.0571,0.0093
2017-08-19,0.0647,0.028,0.0462,0.0071
2017-08-20,0.0424,0.0084,0.0357,0.0176
2017-08-21,0.0572,0.0144,0.0477,0.0142
2017-08-22,0.087,0.0043,0.1879,0.0121
2017-08-23,0.0492,0.0074,0.0797,0.0129
2017-08-24,0.0892,0.0075,0.0892,0.0211
2017-08-25,0.036,0.0058,0.0215,0.0082
2017-08-26,0.039,0.0044,0.0294,0.0055
2017-08-27,0.0498,0.0167,0.0431,0.0073
2017-08-28,0.0659,0.009,0.0344,0.012
2017-08-29,0.0706,0.0094,0.0249,0.0094
2017-08-30,0.0496,0.0095,0.0257,0.0054
2017-08-31,0.043,0.0063,0.025,0.0088
2017-09-01,0.0373,0.0041,0.0178,0.015
2017-09-02,0.0325,0.0038,0.0158,0.0098
2017-09-03,0.1759,0.0202,0.0862,0.0069
2017-09-04,0.1672,0.0108,0.0605,0.0088
2017-09-05,0.0679,0.008,0.0208,0.0097
2017-09-06,0.032,0.0542,0.0259,0.0086
2017-09-07,0.0328,0.006,0.0175,0.0112
2017-09-08,0.0216,0.0074,0.0173,0.0125
2017-09-09,0.0319,0.0098,0.0242,0.0081
2017-09-10,0.0348,0.0158,0.0156,0.0139
2017-09-11,0.0303,0.0128,0.0362,0.0068
2017-09-12,0.0311,0.0056,0.0143,0.007
2017-09-13,0.0266,0.0162,0.023,0.0054
2017-09-14,0.0425,0.007,0.0164,0.0092
2017-09-15,0.0514,0.0051,0.0176,0.0155
2017-09-16,0.0381,0.0037,0.0174,0.0059
2017-09-17,0.0542,0.0032,0.0221,0.007
2017-09-18,0.0379,0.0067,0.0173,0.0094
2017-09-19,0.0262,0.0064,0.0137,0.008
2017-09-20,0.0231,0.004,0.0152,0.0079
2017-09-21,0.0411,0.0049,0.0285,0.0123
2017-09-22,0.036,0.0038,0.0192,0.0056
2017-09-23,0.023,0.0034,0.0131,0.0061
2017-09-24,0.0318,0.0055,0.0242,0.0078
2017-09-25,0.0242,0.0048,0.0141,0.0072
2017-09-26,0.025,0.0043,0.0207,0.0061
2017-09-27,0.0517,0.0058,0.0211,0.01
2017-09-28,0.0248,0.0038,0.0129,0.0075
2017-09-29,0.0271,0.0035,0.0129,0.0281
2017-09-30,0.0296,0.0041,0.0173,0.0077
2017-10-01,0.0256,0.002,0.0146,0.0115
2017-10-02,0.0124,0.0038,0.0105,0.0048
2017-10-03,0.0131,0.003,0.0275,0.005
2017-10-04,0.019,0.0037,0.0134,0.0165
2017-10-05,0.0177,0.0027,0.0338,0.0093
2017-10-06,0.0207,0.0064,0.021,0.0071
2017-10-07,0.0284,0.0075,0.1087,0.0118
2017-10-08,0.0191,0.0015,0.0322,0.0062
