date,south_china_sea,taiwan_strait,us_tech_trade
2017-01-01,0.1788,0.1968,0.0287
2017-01-02,0.1473,0.1231,0.0381
2017-01-03,0.2335,0.1218,0.0392
2017-01-04,0.2008,0.1045,0.0388
2017-01-05,0.1818,0.1281,0.0388
2017-01-06,0.1279,0.0954,0.0405
2017-01-07,0.1385,0.168,0.034
2017-01-08,0.1146,0.1279,0.0262
2017-01-09,0.1667,0.2273,0.0472
2017-01-10,0.1419,0.1297,0.0483
2017-01-11,0.2939,0.2302,0.0332
2017-01-12,0.4068,0.2034,0.0396
2017-01-13,0.4441,0.1365,0.0426
2017-01-14,0.4583,0.4225,0.0268
2017-01-15,0.3596,0.3944,0.0311
2017-01-16,0.3325,0.2843,0.0371
2017-01-17,0.2528,0.1727,0.0569
2017-01-18,0.1696,0.1593,0.0688
2017-01-19,0.172,0.1507,0.0643
2017-01-20,0.1506,0.172,0.0755
2017-01-21,0.1732,0.2316,0.0571
2017-01-22,0.2082,0.1624,0.0351
2017-01-23,0.1959,0.135,0.0409
2017-01-24,0.3608,0.1326,0.0693
2017-01-25,0.266,0.0985,0.0557
2017-01-26,0.1568,0.0768,0.0368
2017-01-27,0.1476,0.0679,0.028
2017-01-28,0.1083,0.0837,0.0457
2017-01-29,0.2158,0.077,0.0215
2017-01-30,0.1249,0.0731,0.0357
2017-01-31,0.1241,0.0512,0.0531
2017-02-01,0.1004,0.0474,0.0447
2017-02-02,0.1543,0.062,0.0312
2017-02-03,0.1914,0.0729,0.0445
2017-02-04,0.3103,0.1154,0.0283
2017-02-05,0.2293,0.1071,0.0151
2017-02-06,0.2138,0.089,0.0286
2017-02-07,0.1802,0.0936,0.0336
2017-02-08,0.1839,0.1081,0.0337
2017-02-09,0.2031,0.1024,0.0423
2017-02-10,0.4037,0.5431,0.0652
2017-02-11,0.3612,0.4075,0.0327
2017-02-12,0.1637,0.1922,0.0237
2017-02-13,0.1413,0.1845,0.0377
2017-02-14,0.112,0.1195,0.0346
2017-02-15,0.1506,0.092,0.033
2017-02-16,0.1263,0.0797,0.0356
2017-02-17,0.12,0.1058,0.0349
2017-02-18,0.123,0.1378,0.0203
2017-02-19,0.2892,0.1156,0.0242
2017-02-20,0.2057,0.1053,0.0222
2017-02-21,0.1734,0.0875,0.0283
2017-02-22,0.1992,0.1012,0.0329
2017-02-23,0.1748,0.0861,0.0282
2017-02-24,0.1406,0.0886,0.0334
2017-02-25,0.1275,0.0872,0.0191
2017-02-26,0.226,0.0644,0.0143
2017-02-27,0.1756,0.0809,0.0248
2017-02-28,0.1514,0.0785,0.0388
2017-03-01,0.1231,0.0463,0.0349
2017-03-02,0.1012,0.0637,0.0344
2017-03-03,0.1361,0.0732,0.0415
2017-03-04,0.388,0.0626,0.018
2017-03-05,0.2663,0.2035,0.0248
2017-03-06,0.1599,0.0596,0.0296
2017-03-07,0.1118,0.0429,0.0647
2017-03-08,0.1227,0.0634,0.0623
2017-03-09,0.1185,0.0422,0.0398
2017-03-10,0.1118,0.0445,0.0276
2017-03-11,0.107,0.0608,0.0205
2017-03-12,0.0805,0.0525,0.0287
2017-03-13,0.211,0.0715,0.0333
2017-03-14,0.1875,0.0501,0.0468
2017-03-15,0.2099,0.0894,0.0385
2017-03-16,0.2264,0.0556,0.0316
2017-03-17,0.178,0.0591,0.0337
2017-03-18,0.2541,0.0771,0.0375
2017-03-19,0.2193,0.0876,0.0525
2017-03-20,0.1685,0.0806,0.0321
2017-03-21,0.1615,0.078,0.0362
2017-03-22,0.1863,0.0696,0.0249
2017-03-23,0.1711,0.0707,0.023
2017-03-24,0.1875,0.0788,0.0325
2017-03-25,0.1155,0.0741,0.0276
2017-03-26,0.1337,0.0999,0.0356
2017-03-27,0.1214,0.091,0.0373
2017-03-28,0.1483,0.0805,0.0324
2017-03-29,0.1327,0.1043,0.0385
2017-03-30,0.1977,0.1297,0.0956
2017-03-31,0.1579,0.1192,0.0527
2017-04-01,0.1463,0.1463,0.0272
2017-04-02,0.1401,0.1031,0.0191
2017-04-03,0.257,0.0866,0.0467
2017-04-04,0.1518,0.1048,0.0508
2017-04-05,0.1609,0.1006,0.0526
2017-04-06,0.2653,0.173,0.0495
2017-04-07,0.2931,0.1837,0.0451
2017-04-08,0.2011,0.1195,0.0243
2017-04-09,0.2864,0.1309,0.0284
2017-04-10,0.1415,0.1227,0.0422
2017-04-11,0.0923,0.0959,0.0299
2017-04-12,0.0758,0.0876,0.0349
2017-04-13,0.1085,0.0779,0.0594
2017-04-14,0.0777,0.0833,0.0354
2017-04-15,0.0912,0.1296,0.0206
2017-04-16,0.1211,0.1236,0.0178
2017-04-17,0.0866,0.134,0.0285
2017-04-18,0.0718,0.0982,0.04
2017-04-19,0.235,0.0688,0.038
2017-04-20,0.1741,0.0984,0.0314
2017-04-21,0.1795,0.0842,0.0352
2017-04-22,0.1618,0.0606,0.0212
2017-04-23,0.1249,0.0433,0.023
2017-04-24,0.1251,0.0738,0.0384
2017-04-25,0.0992,0.0788,0.0607
2017-04-26,0.2467,0.1021,0.0473
2017-04-27,0.1699,0.0763,0.051
2017-04-28,0.1455,0.0961,0.0363
2017-04-29,0.258,0.0878,0.045
2017-04-30,0.3078,0.0835,0.0201
2017-05-01,0.2102,0.0822,0.0206
2017-05-02,0.1727,0.0681,0.0219
2017-05-03,0.1267,0.0614,0.0234
2017-05-04,0.175,0.0717,0.025
2017-05-05,0.1609,0.0542,0.0179
2017-05-06,0.1036,0.0419,0.014
