date,n_global,n_india,n_verbal_conflict,n_material_conflict,n_protest,goldstein_mean,mentions_sum
2017-01-01,97865,5004,762,688,67,0.35,47801
2017-01-02,124953,7653,1199,1101,122,0.309,83535
2017-01-03,175886,9462,1602,1403,188,0.165,96126
2017-01-04,198065,11157,1855,1684,299,0.224,117769
2017-01-05,204162,10849,1655,1471,227,0.44,108348
2017-01-06,201467,9302,1598,1412,253,0.159,88915
2017-01-07,134129,7857,1305,1084,156,0.342,69378
2017-01-08,119111,6707,928,922,77,0.63,64614
2017-01-09,199288,10131,1704,1340,272,0.428,96485
2017-01-10,219808,10250,1664,1297,254,0.446,95020
2017-01-11,221814,9513,1657,1079,191,0.606,89273
2017-01-12,235886,9507,1557,1226,166,0.581,91517
2017-01-13,227125,9394,1628,1326,244,0.253,88485
2017-01-14,143802,7122,1386,770,180,0.449,63979
2017-01-15,129561,6211,1057,823,124,0.365,59829
2017-01-16,203778,9566,1532,1345,194,0.418,87569
2017-01-17,235659,10658,1733,1477,254,0.312,98732
2017-01-18,256842,12048,2056,1653,447,0.374,117093
2017-01-19,250568,11440,1853,1726,413,0.181,114250
2017-01-20,229688,10064,1716,1277,370,0.489,90539
2017-01-21,157544,8070,1365,1187,277,0.256,75910
2017-01-22,134877,6749,1136,1032,221,0.136,66522
2017-01-23,211589,10054,1811,1530,408,0.076,98595
2017-01-24,241016,10358,1586,1365,265,0.505,96704
2017-01-25,248845,10870,1544,1297,176,0.826,109678
2017-01-26,248664,9255,1216,1064,187,0.836,99811
2017-01-27,233337,8689,1479,1170,198,0.465,77895
2017-01-28,163198,7949,1514,1172,211,0.087,69337
2017-01-29,166349,6097,1038,851,143,0.351,58729
2017-01-30,263106,10238,1894,1698,225,-0.055,93906
2017-01-31,277014,9671,1783,1692,202,-0.163,91546
2017-02-01,268215,8612,1373,1110,146,0.517,100266
2017-02-02,263407,8508,1528,1161,169,0.277,85944
2017-02-03,250661,8838,1524,1343,208,0.196,84037
2017-02-04,161649,7707,1206,1187,122,0.114,76368
2017-02-05,138173,6735,1080,1046,139,0.152,61590
2017-02-06,222144,9675,1627,1350,229,0.361,95075
2017-02-07,245984,10421,1802,1516,187,0.354,99585
2017-02-08,255361,9460,1718,1374,218,0.183,98335
2017-02-09,255779,9686,1760,1297,162,0.317,99108
2017-02-10,237692,9286,1629,1230,157,0.402,93037
2017-02-11,149073,7090,1166,1068,89,0.229,68797
2017-02-12,129730,5731,972,1048,127,-0.273,54150
2017-02-13,217952,9386,1608,1395,180,0.181,98429
2017-02-14,247727,9490,1442,1559,112,0.21,97041
2017-02-15,262415,10198,1528,1589,185,0.298,103841
2017-02-16,266197,10306,1713,1432,171,0.421,98515
2017-02-17,253582,9907,1832,1265,175,0.354,100467
2017-02-18,159196,7596,1372,1156,176,0.114,76655
2017-02-19,138978,6190,979,878,141,0.437,59004
2017-02-20,211997,9561,1543,1259,217,0.443,92359
2017-02-21,240715,9991,1486,1583,153,0.296,95978
2017-02-22,256302,10343,1671,1506,251,0.335,98926
2017-02-23,251850,10563,1639,1564,230,0.336,111422
2017-02-24,237636,10214,1620,1544,147,0.2,103058
2017-02-25,154297,7807,1415,1242,185,-0.176,69748
2017-02-26,132308,6563,1105,1123,136,-0.124,65911
2017-02-27,215242,9180,1756,1506,185,-0.099,87545
2017-02-28,239824,10037,2010,1444,350,0.022,113957
2017-03-01,251279,9992,1993,1563,338,-0.023,103881
2017-03-02,248201,10102,2051,1523,306,-0.047,106821
2017-03-03,242300,10962,2076,1550,304,0.086,109630
2017-03-04,155193,7960,1275,1157,206,0.248,79578
2017-03-05,133142,6234,1212,1198,129,-0.641,73842
2017-03-06,221921,10329,1888,1568,234,-0.081,107986
2017-03-07,233452,9976,1709,1673,204,-0.133,97884
2017-03-08,244804,10836,1779,1877,205,-0.034,103028
2017-03-09,248268,11279,2002,1881,212,-0.172,110445
2017-03-10,231409,10159,1842,1425,215,0.207,104298
2017-03-11,145107,8479,1553,999,172,0.393,99255
2017-03-12,129251,6602,964,725,117,0.736,64137
2017-03-13,207298,5738,820,755,104,0.581,55467
2017-03-14,228712,8758,1475,1137,135,0.45,90386
2017-03-15,233293,10043,1626,1544,184,0.215,95596
2017-03-16,250129,10406,1656,1392,210,0.442,100850
2017-03-17,244747,10314,1665,1240,175,0.59,100099
2017-03-18,149403,7918,1221,929,142,0.513,74015
2017-03-19,122812,6571,948,917,181,0.416,67517
2017-03-20,204183,9230,1310,1203,195,0.526,92328
2017-03-21,227224,10416,1517,1277,142,0.732,99870
2017-03-22,235431,9512,1472,1370,152,0.439,97790
2017-03-23,225622,9240,1572,1418,148,0.184,93247
2017-03-24,213662,10127,1668,1695,218,0.049,103315
2017-03-25,131565,7255,1124,1260,126,0.02,71403
2017-03-26,112512,6044,911,996,80,0.133,56038
2017-03-27,197582,9310,1333,1562,191,0.174,91792
2017-03-28,225524,9206,1274,1523,146,0.142,96368
2017-03-29,235806,9125,1364,1477,164,0.243,111017
2017-03-30,228819,10054,1614,1284,194,0.457,98537
2017-03-31,218798,9577,1494,1293,147,0.476,92132
2017-04-01,128850,7203,1076,1195,99,0.111,75901
2017-04-02,115267,6621,936,1080,116,0.208,61728
2017-04-03,202802,9539,1368,1600,170,0.262,92243
2017-04-04,217217,9773,1401,1303,149,0.64,95949
2017-04-05,232485,10417,1643,1327,133,0.483,98413
2017-04-06,237903,10739,1821,1428,177,0.417,110604
2017-04-07,253934,10022,1442,1355,154,0.647,92777
2017-04-08,146811,9046,1141,1260,92,0.777,80527
2017-04-09,125083,6893,946,1134,116,0.265,63203
2017-04-10,211218,10885,1708,1598,187,0.362,106760
2017-04-11,231615,10741,1729,1626,180,0.135,98036
2017-04-12,227546,10412,1791,1425,205,0.322,93614
2017-04-13,221627,8791,1436,1106,154,0.563,79807
2017-04-14,178554,7818,1189,1021,108,0.374,66439
2017-04-15,121161,7172,1129,1089,107,0.176,61272
2017-04-16,113332,6536,920,895,99,0.428,60852
2017-04-17,172048,9465,1462,1342,215,0.236,99039
2017-04-18,211344,10424,1527,1412,140,0.693,106386
2017-04-19,208287,9199,1433,1316,136,0.374,88124
2017-04-20,219003,9149,1480,1428,138,0.175,86579
2017-04-21,219182,10388,1705,1310,155,0.426,102963
2017-04-22,127190,6913,1107,1029,140,0.261,61106
2017-04-23,114206,5898,958,808,133,0.293,62032
2017-04-24,203468,9663,1300,1588,140,0.211,106940
2017-04-25,228724,10128,1578,1501,177,0.292,96575
2017-04-26,232175,9403,1416,1219,115,0.692,94061
2017-04-27,237116,9315,1208,1494,138,0.395,107610
2017-04-28,221156,9214,1369,1368,98,0.4,94335
2017-04-29,139975,7525,1010,1158,76,0.425,70745
2017-04-30,116373,5705,769,788,84,0.595,50316
2017-05-01,182665,9493,1433,1394,126,0.245,85406
2017-05-02,213353,9511,1674,1365,124,0.159,89179
2017-05-03,227524,9663,1595,1326,219,0.309,93646
2017-05-04,206352,9267,1509,1338,135,0.236,95614
2017-05-05,195822,8748,1351,1594,126,0.004,94796
2017-05-06,128042,6953,986,1135,103,0.124,71424
2017-05-07,113246,5934,847,993,74,-0.041,67545
2017-05-08,197391,8642,1416,1352,136,0.159,89213
2017-05-09,213916,9340,1494,1377,153,0.34,89457
2017-05-10,217500,8579,1265,1289,123,0.269,75191
2017-05-11,213880,9079,1445,1322,184,0.218,94498
2017-05-12,210333,8885,1380,1256,137,0.317,85253
2017-05-13,131573,6576,1144,1167,135,-0.318,57801
2017-05-14,114093,6068,918,1058,128,-0.119,65988
2017-05-15,193338,8860,1357,1410,132,0.085,88901
2017-05-16,216533,9055,1299,1325,133,0.351,105176
2017-05-17,222681,8600,1341,1224,168,0.267,87604
2017-05-18,227310,9052,1433,1156,117,0.499,87827
2017-05-19,221734,8139,1380,1108,167,0.271,74082
2017-05-20,133735,6490,1007,884,121,0.186,59649
