date,partner,n,n_coop,n_conflict,goldstein_mean,mentions_sum,sources_sum,articles_sum
2017-01-01,AFG,32,32,0,2.481,230,,
2017-01-01,AUS,1,1,0,3.4,4,,
2017-01-01,BGD,9,8,1,2.944,24,,
2017-01-01,BRA,1,1,0,7.4,10,,
2017-01-01,CAN,8,8,0,4.838,32,,
2017-01-01,CHN,8,8,0,1.85,32,,
2017-01-01,CUB,9,9,0,3.4,396,,
2017-01-01,GBR,40,37,3,2.197,267,,
2017-01-01,IRN,1,1,0,-0.4,5,,
2017-01-01,ISR,7,5,2,2.857,18,,
2017-01-01,ITA,1,1,0,3.0,5,,
2017-01-01,KEN,2,2,0,1.9,16,,
2017-01-01,KGZ,2,2,0,3.4,4,,
2017-01-01,KHM,4,4,0,4.0,4,,
2017-01-01,LBR,2,2,0,4.0,20,,
2017-01-01,LKA,10,2,8,-1.9,54,,
2017-01-01,MDV,4,0,4,-2.0,12,,
2017-01-01,MYS,6,6,0,2.7,18,,
2017-01-01,NOR,1,0,1,-9.2,10,,
2017-01-01,NPL,6,2,4,-2.55,32,,
2017-01-01,PAK,71,44,27,-0.763,296,,
2017-01-01,PSE,4,4,0,5.175,24,,
2017-01-01,RUS,4,4,0,-0.15,12,,
2017-01-01,SAU,5,5,0,2.48,6,,
2017-01-01,SDN,1,1,0,3.4,30,,
2017-01-01,TUR,24,9,15,-4.475,115,,
2017-01-01,USA,31,22,9,0.323,190,,
2017-01-01,YEM,2,0,2,-9.0,18,,
2017-01-02,AFG,10,10,0,2.38,32,,
2017-01-02,AFR,1,1,0,5.2,2,,
2017-01-02,BGD,13,11,2,2.908,49,,
2017-01-02,BTN,6,6,0,3.933,22,,
2017-01-02,CHE,2,2,0,2.35,20,,
2017-01-02,CHN,9,6,3,-0.456,52,,
2017-01-02,CUB,3,3,0,1.0,80,,
2017-01-02,DEU,2,1,1,0.0,8,,
2017-01-02,ESP,6,2,4,-3.333,8,,
2017-01-02,EUR,15,14,1,1.587,32,,
2017-01-02,FIN,1,1,0,3.0,4,,
2017-01-02,GBR,45,43,2,3.331,296,,
2017-01-02,IDN,7,7,0,5.671,8,,
2017-01-02,IRQ,1,0,1,-10.0,12,,
2017-01-02,ISR,2,2,0,4.0,6,,
2017-01-02,ITA,4,4,0,2.35,30,,
2017-01-02,JPN,5,1,4,-3.52,19,,
2017-01-02,LKA,62,52,10,2.3,153,,
2017-01-02,MCO,2,2,0,2.35,8,,
2017-01-02,MEA,10,10,0,1.54,92,,
2017-01-02,MEX,4,4,0,2.35,8,,
2017-01-02,MMR,1,1,0,3.4,4,,
2017-01-02,MYS,9,7,2,2.556,56,,
2017-01-02,NGA,5,0,5,-5.0,22,,
2017-01-02,NPL,9,6,3,1.078,50,,
2017-01-02,NZL,5,5,0,2.92,13,,
2017-01-02,PAK,30,13,17,-1.66,60,,
2017-01-02,PHL,2,2,0,2.35,6,,
2017-01-02,PRT,2,2,0,4.0,20,,
2017-01-02,RUS,8,7,1,2.3,44,,
2017-01-02,SAU,2,0,2,-7.2,3,,
2017-01-02,SGP,5,5,0,7.76,10,,
2017-01-02,THA,11,9,2,0.518,30,,
2017-01-02,TUR,55,18,37,-5.671,4188,,
2017-01-02,TWN,11,11,0,3.182,272,,
2017-01-02,USA,56,49,7,0.821,272,,
2017-01-02,VNM,2,0,2,-5.0,2,,
2017-01-03,AFG,6,6,0,2.583,38,,
2017-01-03,AFR,2,2,0,2.35,4,,
2017-01-03,ARE,13,9,4,-0.954,36,,
2017-01-03,BGD,9,6,3,-0.289,23,,
2017-01-03,BHR,2,2,0,2.35,40,,
2017-01-03,BTN,2,2,0,3.4,6,,
2017-01-03,CHN,48,40,8,1.348,198,,
2017-01-03,COL,1,0,1,-4.0,6,,
2017-01-03,DEU,7,3,4,-3.686,184,,
2017-01-03,ESP,6,2,4,-3.333,8,,
2017-01-03,FRA,3,3,0,0.0,4,,
2017-01-03,GBR,29,26,3,1.759,72,,
2017-01-03,GRC,3,3,0,0.0,7,,
2017-01-03,GUY,3,3,0,0.9,6,,
2017-01-03,IDN,1,0,1,-5.0,4,,
2017-01-03,ISR,12,10,2,2.0,28,,
2017-01-03,ITA,2,1,1,-1.0,15,,
2017-01-03,JOR,1,0,1,-9.0,5,,
2017-01-03,JPN,7,7,0,1.786,25,,
2017-01-03,KGZ,4,4,0,2.35,8,,
2017-01-03,KHM,4,4,0,4.0,4,,
2017-01-03,KOR,1,0,1,-4.0,1,,
2017-01-03,KWT,1,1,0,0.0,4,,
2017-01-03,LKA,10,7,3,1.27,18,,
2017-01-03,MDV,1,0,1,-2.0,15,,
2017-01-03,MEA,4,4,0,2.35,12,,
2017-01-03,MLI,2,2,0,5.0,14,,
2017-01-03,MYS,1,1,0,0.0,4,,
2017-01-03,NGA,4,1,3,-1.9,10,,
2017-01-03,NLD,6,5,1,2.25,17,,
2017-01-03,NPL,3,3,0,6.333,41,,
2017-01-03,PAK,44,26,18,-1.364,365,,
2017-01-03,QAT,1,0,1,-5.0,10,,
2017-01-03,RUS,10,10,0,2.5,52,,
2017-01-03,SAS,9,4,5,-1.778,16,,
2017-01-03,SAU,8,6,2,0.275,37,,
2017-01-03,SDN,1,0,1,-10.0,10,,
2017-01-03,SGP,4,4,0,7.0,16,,
2017-01-03,THA,2,0,2,-7.5,4,,
2017-01-03,TJK,5,5,0,5.0,6,,
2017-01-03,TUR,17,8,9,-4.118,278,,
2017-01-03,TWN,3,3,0,3.0,46,,
2017-01-03,USA,104,88,16,1.284,447,,
2017-01-03,VNM,7,6,1,0.9,17,,
2017-01-03,YEM,1,0,1,-9.0,12,,
2017-01-03,ZAF,5,4,1,0.88,17,,
2017-01-03,ZWE,1,1,0,6.4,2,,
2017-01-04,AFR,2,2,0,3.5,2,,
2017-01-04,ARE,9,8,1,1.667,30,,
2017-01-04,ARG,1,0,1,-4.0,10,,
2017-01-04,AUS,5,5,0,1.18,18,,
2017-01-04,BGD,31,24,7,-0.442,89,,
2017-01-04,CAN,1,0,1,-10.0,4,,
2017-01-04,CHE,2,2,0,4.0,4,,
2017-01-04,CHN,20,17,3,0.655,50,,
2017-01-04,DEU,11,4,7,-3.673,113,,
2017-01-04,EGY,4,1,3,-2.75,14,,
2017-01-04,EUR,2,2,0,5.0,6,,
2017-01-04,FIN,6,6,0,4.867,32,,
2017-01-04,FJI,5,5,0,5.98,8,,
2017-01-04,FRA,2,2,0,2.35,2,,
2017-01-04,GBR,69,58,11,0.804,195,,
2017-01-04,GRC,4,4,0,3.4,8,,
2017-01-04,IRN,3,3,0,3.7,18,,
2017-01-04,IRQ,4,0,4,-10.0,10,,
2017-01-04,ISR,14,10,4,0.4,220,,
2017-01-04,ITA,7,4,3,-0.8,20,,
2017-01-04,JOR,12,8,4,-0.1,216,,
2017-01-04,JPN,7,6,1,1.857,69,,
2017-01-04,KEN,8,8,0,6.85,38,,
2017-01-04,KHM,1,1,0,3.4,4,,
2017-01-04,KOR,5,0,5,-2.0,32,,
2017-01-04,LBN,12,8,4,-0.1,216,,
2017-01-04,LKA,8,6,2,-1.163,40,,
2017-01-04,MDV,7,0,7,-2.0,32,,
2017-01-04,MLI,5,3,2,1.4,5,,
2017-01-04,MYS,2,2,0,2.5,7,,
2017-01-04,NPL,11,5,6,-1.909,122,,
2017-01-04,OMN,4,2,2,-0.575,16,,
2017-01-04,PAK,43,26,17,-0.807,164,,
2017-01-04,PRT,5,5,0,7.08,38,,
2017-01-04,QAT,2,0,2,-2.0,35,,
2017-01-04,RUS,7,7,0,2.586,46,,
2017-01-04,SAS,3,0,3,-5.0,14,,
2017-01-04,SAU,4,4,0,7.0,48,,
2017-01-04,SEA,7,3,4,-1.429,39,,
2017-01-04,THA,10,10,0,3.55,52,,
2017-01-04,TMP,4,4,0,2.35,8,,
2017-01-04,TUR,113,88,25,-0.328,4283,,
2017-01-04,TWN,2,2,0,3.0,6,,
2017-01-04,USA,120,89,31,0.541,868,,
2017-01-04,VNM,1,1,0,10.0,6,,
2017-01-04,YEM,8,4,4,-2.688,20,,
2017-01-04,ZAF,6,6,0,2.35,24,,
2017-01-05,AFG,7,6,1,1.886,25,,
2017-01-05,AFR,1,1,0,1.0,8,,
2017-01-05,ARE,11,10,1,2.282,30,,
2017-01-05,AUS,10,8,2,0.77,72,,
2017-01-05,BGD,2,2,0,4.0,20,,
2017-01-05,CAN,13,11,2,3.431,28,,
2017-01-05,CHE,4,4,0,2.5,60,,
2017-01-05,CHL,3,3,0,0.0,10,,
2017-01-05,CHN,35,30,5,0.786,119,,
2017-01-05,DEU,5,2,3,-4.04,54,,
