date,institution,channel,title,url
2017-03-06,idsa,general,Inaugural Address by Hon’ble Raksha Mantri Shri Manohar Parrikar at the 19th Asian Security Conference on ‘Combating Terrorism: Evolving an Asian Response’,https://idsa.in/inaugural-address-by-honble-raksha-mantri-shri-manohar-parrikar-at-the-19th-asian-security-conference-on-combating-terrorism-evolving-an-asian-response
2017-03-06,idsa,general,"Keynote Address H.E. Mhd. Hanif Atmar, National Security Advisor, Afghanistan at the 19th Asian Security Conference on “Combating Terrorism: Evolving an Asian Response”",https://idsa.in/keynote-address-h-e-mhd-hanif-atmar-national-security-advisor-afghanistan-at-the-19th-asian-security-conference-on-combating-terrorism-evolving-an-asian-response-2
2020-02-26,idsa,general,Welcome Remarks by Amb. Sujan R. Chinoy | 4th West Asia Conference,https://idsa.in/welcome-remarks-by-amb-sujan-r-chinoy-4th-west-asia-conference
2024-02-28,idsa,general,Keynote Address at the 9th South Asia Conference on “Culture as a Factor in Regional Cooperation in South Asia”,https://idsa.in/keynote-address-at-the-9th-south-asia-conference-on-culture-as-a-factor-in-regional-cooperation-in-south-asia
2024-02-28,idsa,general,"Keynote Address H.E. Mhd. Hanif Atmar, National Security Advisor, Afghanistan at the 19th Asian Security Conference on “Combating Terrorism: Evolving an Asian Response”",https://idsa.in/keynote-address-h-e-mhd-hanif-atmar-national-security-advisor-afghanistan-at-the-19th-asian-security-conference-on-combating-terrorism-evolving-an-asian-response
2026-07-09,gateway_house,gulf_energy,The missing pillar of India’s sovereign AI,https://www.gatewayhouse.in/the-missing-pillar-of-indias-sovereign-ai/
2026-07-09,gateway_house,general,Putin pushes for technological sovereignty,https://www.gatewayhouse.in/putin-pushes-for-technological-sovereignty/
2026-07-09,gateway_house,general,India-Japan Economic Security Pillar,https://www.gatewayhouse.in/india-japan-economic-security-pillar/
2026-07-14,gateway_house,general,Modi-Prabowo sextet of good intentions,https://www.gatewayhouse.in/modi-prabowo-sextet-of-good-intentions/
2026-07-16,gateway_house,general,The gulf in the Gulf,https://www.gatewayhouse.in/the-gulf-in-the-gulf/
2026-07-16,gateway_house,general,Five surprising truths about middle-powers,https://www.gatewayhouse.in/five-surprising-truths-about-middle-powers/
2026-07-20,rand,general,Diffusion of HIV Prevention Advocacy in Social Networks of Persons Living with HIV in Uganda,https://www.rand.org/pubs/external_publications/EP71384.html
2026-07-20,rand,general,"Staffing Audit Outcomes Among California Skilled Nursing Facilities, Prior to and After COVID-19–Related Staffing Waivers",https://www.rand.org/pubs/external_publications/EP71349.html
2026-07-20,rand,general,An Economic Analysis of Midstream Manufacturing in the EU Defence and Aerospace Sectors and Opportunities for a More Circular Economy in the UK,https://www.rand.org/pubs/external_publications/EP71406.html
2026-07-20,rand,general,"Basement Wetness, Indoor Environmental Hazards, and Health in Climate-Vulnerable Urban Communities",https://www.rand.org/pubs/external_publications/EP71365.html
2026-07-20,rand,general,Examining the Impact of Senate Bill 1160 on Utilization Review and Medical Treatment in California Workers' Compensation,https://www.rand.org/pubs/research_reports/RRA4256-1.html
2026-07-21,rand,general,The Men and Women of Project Firestar—How the United States Developed the Labor Force to Colonize Titan,https://www.rand.org/pubs/perspectives/PEA3365-2.html
2026-07-21,rand,general,China's strategic petroleum reserve as a geoeconomic tool,https://www.rand.org/pubs/research_reports/RRA5069-1.html
2026-07-22,rand,general,Effects of Exposure to Active Minds’ Send Silence Packing Exhibit on College Students’ Mental Health Help-Seeking Intentions,https://www.rand.org/pubs/external_publications/EP71410.html
2026-07-23,gateway_house,general,"“There have to be some signals, some gestures from our closest neighbour, India”",https://www.gatewayhouse.in/there-have-to-be-some-signals-some-gestures-from-our-closest-neighbor-india/
2026-07-23,gateway_house,general,India should re-examine its energy investment,https://www.gatewayhouse.in/india-should-re-examine-its-energy-investment/
2026-07-23,gateway_house,general,Mizoram’s Chin refugees from Myanmar,https://www.gatewayhouse.in/mizorams-chin-refugees-from-myanmar/
2026-07-23,rand,general,Sustaining Agile Operations,https://www.rand.org/pubs/research_reports/RRA3582-2.html
2026-07-23,rand,general,Federal Spending Mapping Tools,https://www.rand.org/pubs/tools/TLA4392-2.html
2026-07-27,rand,general,Total War on Taipei,https://www.rand.org/pubs/external_publications/EP71429.html
2026-07-27,rand,general,Managed Disorder,https://www.rand.org/pubs/external_publications/EP71428.html
2026-07-28,rand,general,Veterans’ Participation in Public Programs,https://www.rand.org/pubs/research_reports/RRA4405-5.html
2026-07-29,rand,general,HMP Liverpool Major Refurbishment Project,https://www.rand.org/pubs/external_publications/EP71432.html
2026-07-30,gateway_house,general,ASEAN Centrality on Display in Manila,https://www.gatewayhouse.in/asean-centrality-on-display-in-manila/
2026-07-30,rand,general,A Structured Approach to Identifying and Characterizing AI Vulnerabilities,https://www.rand.org/pubs/research_reports/RRA4983-1.html
2026-07-30,rand,general,China’s Position on the Emerging Russia–North Korea Military Cooperation and Its Implications for the U.S.-ROK Alliance,https://www.rand.org/pubs/research_reports/RRA5044-1.html
2026-07-30,rand,general,Trends in Perception of Generative AI in Healthcare by US Adult Demographics and Political Identity,https://www.rand.org/pubs/external_publications/EP71364.html
2026-07-30,rand,general,Examining the Implementation and Impact of Pediatric ACE Screening,https://www.rand.org/pubs/research_reports/RRA4408-2.html
2026-07-31,rand,general,A U.S. Strategy to Prevent the Creation of Mirror Life,https://www.rand.org/pubs/research_reports/RRA4335-1.html
2026-07-31,rand,general,Principles for Communicating the Risks of Mirror Life,https://www.rand.org/pubs/perspectives/PEA4619-1.html
2026-08-02,crisisgroup,general,"War, Politics and Chauvinism in Russia and Europe",https://www.crisisgroup.org/pod/europe/russia/war-politics-and-chauvinism-russia-and-europe
2026-08-02,crisisgroup,general,End of U.S. Protected Status Means Haitians Face Return to Crime-hit Homeland,https://www.crisisgroup.org/anb/united-states/united-states-haiti/end-us-protected-status-means-haitians-face-return-crime-hit-homeland
