date,pakistan_west,china_east,gulf_energy,us_trade,shipping
2022-01-01,0.0629,0.0615,0.2971,0.0495,0.10980000000000001
2022-01-02,0.0279,0.041,0.2918,0.039099999999999996,0.1415
2022-01-03,0.0339,0.0441,0.43579999999999997,0.038,0.1785
2022-01-04,0.03,0.0522,0.4758,0.0213,0.09659999999999999
2022-01-05,0.0345,0.0302,0.43900000000000006,0.020999999999999998,0.1381
2022-01-06,0.0214,0.030699999999999998,0.4414,0.0096,0.1041
2022-01-07,0.0207,0.0327,0.4082,0.0169,0.1124
2022-01-08,0.0184,0.0266,0.3288,0.006,0.0892
2022-01-09,0.0109,0.0212,0.2695,0.0087,0.0925
2022-01-10,0.011800000000000001,0.0157,0.3958,0.0108,0.10239999999999999
2022-01-11,0.0174,0.0352,0.3432,0.013499999999999998,0.0914
2022-01-12,0.0411,0.048,0.3811,0.0151,0.0958
2022-01-13,0.0252,0.0402,0.4142,0.0649,0.0744
2022-01-14,0.033800000000000004,0.0372,0.3953,0.0214,0.1085
2022-01-15,0.0513,0.0721,0.4306,0.026299999999999997,0.1243
2022-01-16,0.0172,0.0221,0.354,0.019700000000000002,0.091
2022-01-17,0.0234,0.0173,0.4034,0.0359,0.1517
2022-01-18,0.0188,0.0385,0.587,0.0182,0.1095
2022-01-19,0.0147,0.0196,0.5302,0.0068000000000000005,0.1195
2022-01-20,0.0223,0.0449,0.5021,0.0551,0.1486
2022-01-21,0.0207,0.0385,0.4585,0.0109,0.157
2022-01-22,0.025300000000000003,0.030699999999999998,0.4152,0.0258,0.1545
2022-01-23,0.0395,0.044500000000000005,0.6012,0.010499999999999999,0.2786
2022-01-24,0.0153,0.019799999999999998,0.5477,0.0111,0.1206
2022-01-25,0.0237,0.018500000000000003,0.49629999999999996,0.0076,0.1268
2022-01-26,0.0266,0.026699999999999998,0.5176000000000001,0.0083,0.2415
2022-01-27,0.019,0.0291,0.4734,0.0088,0.1237
2022-01-28,0.0183,0.0317,0.5796,0.018099999999999998,0.1163
2022-01-29,0.0158,0.0149,0.4888,0.0075,0.0696
2022-01-30,0.0183,0.020300000000000002,0.3206,0.016399999999999998,0.1064
2022-01-31,0.0129,0.0293,0.565,0.010100000000000001,0.11530000000000001
2022-02-01,0.0165,0.0209,0.5178,0.0148,0.1418
2022-02-02,0.0126,0.0281,0.5334,0.009899999999999999,0.1286
2022-02-03,0.0477,0.056100000000000004,0.5423,0.0089,0.11420000000000001
2022-02-04,0.0488,0.07529999999999999,0.5054,0.0105,0.1362
2022-02-05,0.0586,0.0419,0.40449999999999997,0.005900000000000001,0.1889
2022-02-06,0.0388,0.0189,0.42369999999999997,0.0099,0.2717
2022-02-07,0.0233,0.021500000000000002,0.6248,0.0131,0.1328
2022-02-08,0.0165,0.028499999999999998,0.5889,0.013399999999999999,0.134
2022-02-09,0.0118,0.0309,0.49019999999999997,0.0107,0.1526
2022-02-10,0.0211,0.023,0.4613,0.0148,0.1266
2022-02-11,0.0353,0.0142,0.4718,0.0511,0.1839
2022-02-12,0.06369999999999999,0.0601,0.44820000000000004,0.0147,0.1496
2022-02-13,0.0182,0.0187,0.47519999999999996,0.0057,0.1474
2022-02-14,0.0379,0.034,0.8698,0.012199999999999999,0.2211
2022-02-15,0.0314,0.0156,0.7310000000000001,0.0078,0.101
2022-02-16,0.0166,0.018,0.6833,0.0324,0.09670000000000001
2022-02-17,0.0114,0.015000000000000001,0.6053999999999999,0.0294,0.129
2022-02-18,0.0184,0.0123,0.5634,0.0218,0.0927
2022-02-19,0.0314,0.020200000000000003,0.3832,0.0521,0.09839999999999999
2022-02-20,0.037599999999999995,0.0571,0.47600000000000003,0.0376,0.1523
2022-02-21,0.0204,0.0182,0.6002000000000001,0.0135,0.1594
2022-02-22,0.012400000000000001,0.0174,1.0778,0.0194,0.1032
2022-02-23,0.0175,0.0258,0.83,0.0137,0.1192
2022-02-24,0.009,0.018099999999999998,2.0307,0.0702,0.0852
2022-02-25,0.0102,0.0092,1.4513,0.1714,0.1069
2022-02-26,0.014700000000000001,0.0126,0.6193,0.0779,0.1338
2022-02-27,0.0168,0.0205,0.6361,0.0569,0.1799
2022-02-28,0.0081,0.012199999999999999,1.1198,0.1914,0.10540000000000001
2022-03-01,0.016300000000000002,0.0105,1.1553,0.0897,0.1334
2022-03-02,0.0115,0.0113,1.4190999999999998,0.1769,0.1493
2022-03-03,0.0204,0.0147,1.1465,0.11320000000000001,0.1681
2022-03-04,0.0178,0.0172,1.2008,0.0658,0.10930000000000001
2022-03-05,0.0154,0.023399999999999997,0.8526,0.0721,0.0963
2022-03-06,0.0094,0.0158,0.8808,0.0613,0.21989999999999998
2022-03-07,0.0161,0.017,2.1224,0.09,0.1153
2022-03-08,0.0108,0.0191,2.2679,0.2738,0.1006
2022-03-09,0.018500000000000003,0.019899999999999998,2.0498,0.1741,0.1049
