date,pakistan_west,china_east,gulf_energy,us_trade,shipping
2022-01-01,0.0475,0.0435,0.0114,0.0381,0.0335
2022-01-02,0.0192,0.0323,0.0106,0.023,0.0875
2022-01-03,0.0256,0.0358,0.0162,0.0343,0.1096
2022-01-04,0.0249,0.0444,0.0132,0.0186,0.0252
2022-01-05,0.0158,0.0167,0.0089,0.0155,0.0508
2022-01-06,0.016,0.0235,0.0072,0.0081,0.0163
2022-01-07,0.0179,0.0268,0.0092,0.0108,0.0413
2022-01-08,0.0115,0.0198,0.0083,0.0018,0.0267
2022-01-09,0.006,0.0163,0.0065,0.0054,0.012
2022-01-10,0.0082,0.0121,0.0085,0.0057,0.0154
2022-01-11,0.0129,0.0206,0.0063,0.008,0.0132
2022-01-12,0.0277,0.0358,0.0167,0.0035,0.0221
2022-01-13,0.0183,0.0295,0.0146,0.037,0.0181
2022-01-14,0.0262,0.0273,0.0039,0.0132,0.0172
2022-01-15,0.0381,0.0295,0.0054,0.01,0.0141
2022-01-16,0.0088,0.0123,0.0054,0.0049,0.0403
2022-01-17,0.008,0.0106,0.0077,0.0141,0.0808
2022-01-18,0.0102,0.0221,0.0094,0.0083,0.0489
2022-01-19,0.0065,0.0157,0.0078,0.0034,0.0429
2022-01-20,0.0186,0.0386,0.0105,0.0465,0.036
2022-01-21,0.0155,0.0333,0.0083,0.0049,0.0313
2022-01-22,0.0098,0.0226,0.0071,0.0209,0.0653
2022-01-23,0.028,0.0365,0.0125,0.004,0.035
2022-01-24,0.0115,0.0129,0.0082,0.0076,0.0468
2022-01-25,0.0174,0.0136,0.0065,0.0019,0.0285
2022-01-26,0.0232,0.0226,0.0024,0.004,0.0345
2022-01-27,0.0147,0.0219,0.0067,0.0027,0.0267
2022-01-28,0.0133,0.0229,0.0119,0.0042,0.0167
2022-01-29,0.0105,0.0105,0.0092,0.0035,0.0188
2022-01-30,0.0099,0.0173,0.0035,0.0049,0.0609
2022-01-31,0.006,0.0211,0.0088,0.0047,0.0365
2022-02-01,0.0117,0.0154,0.0174,0.0037,0.0314
2022-02-02,0.009,0.0205,0.0154,0.0042,0.0345
2022-02-03,0.0283,0.0496,0.0118,0.0022,0.0362
2022-02-04,0.0357,0.0562,0.0033,0.0009,0.0559
2022-02-05,0.0221,0.0329,0.0041,0.0009,0.074
2022-02-06,0.0129,0.0139,0.0392,0.0025,0.0368
2022-02-07,0.0081,0.0162,0.0236,0.0062,0.0268
2022-02-08,0.0079,0.0203,0.017,0.0044,0.029
2022-02-09,0.0059,0.0196,0.018,0.0062,0.0231
2022-02-10,0.0127,0.0153,0.0159,0.0032,0.0402
2022-02-11,0.0276,0.008,0.0108,0.0267,0.0261
2022-02-12,0.0516,0.0467,0.012,0.0129,0.0414
2022-02-13,0.0089,0.0167,0.0104,0.0036,0.0464
2022-02-14,0.0143,0.0194,0.0098,0.0063,0.026
2022-02-15,0.0086,0.0075,0.0147,0.0033,0.0239
2022-02-16,0.0093,0.0117,0.0117,0.0253,0.0289
2022-02-17,0.0087,0.0109,0.0075,0.0114,0.0223
2022-02-18,0.0155,0.0092,0.0032,0.0132,0.0192
2022-02-19,0.0202,0.0126,0.004,0.0332,0.0305
2022-02-20,0.0331,0.0516,0.0376,0.0336,0.0401
2022-02-21,0.0135,0.0119,0.031,0.0078,0.0736
2022-02-22,0.0078,0.0102,0.0149,0.0114,0.0329
2022-02-23,0.0112,0.0107,0.0074,0.0077,0.0211
2022-02-24,0.0052,0.0067,0.007,0.0109,0.0251
2022-02-25,0.0053,0.0064,0.0058,0.0747,0.015
2022-02-26,0.0093,0.0088,0.0055,0.0282,0.016
2022-02-27,0.0084,0.0149,0.0033,0.0126,0.0214
2022-02-28,0.0042,0.0069,0.0042,0.017,0.0281
2022-03-01,0.0052,0.0069,0.0052,0.0132,0.041
2022-03-02,0.004,0.0064,0.0062,0.0762,0.0293
2022-03-03,0.0084,0.0082,0.009,0.0457,0.0403
2022-03-04,0.0083,0.0141,0.0055,0.0104,0.0198
2022-03-05,0.0089,0.0145,0.0055,0.0234,0.0149
2022-03-06,0.0064,0.0079,0.0044,0.0099,0.0306
2022-03-07,0.0127,0.0111,0.0148,0.0034,0.0309
2022-03-08,0.008,0.0116,0.01,0.0238,0.0194
2022-03-09,0.012,0.0153,0.0107,0.0071,0.0298
2022-03-10,0.0084,0.0084,0.0093,0.0071,0.0226
2022-03-11,0.0131,0.0128,0.006,0.0114,0.0228
2022-03-12,0.0358,0.0437,0.0135,0.01,0.0974
2022-03-13,0.0202,0.0143,0.0246,0.0074,0.0349
2022-03-14,0.0097,0.0354,0.0523,0.0054,0.0287
2022-03-15,0.0066,0.008,0.0195,0.0156,0.1012
2022-03-16,0.0066,0.0111,0.0149,0.0047,0.0589
2022-03-17,0.0108,0.0133,0.0133,0.0116,0.0227
2022-03-18,0.0057,0.019,0.013,0.0069,0.025
2022-03-19,0.0084,0.0177,0.0172,0.0266,0.034
2022-03-20,0.0098,0.0129,0.015,0.0134,0.1038
2022-03-21,0.0138,0.0205,0.0147,0.0202,0.1639
2022-03-22,0.0118,0.0099,0.0082,0.0093,0.0851
2022-03-23,0.0083,0.0116,0.0069,0.0083,0.0406
2022-03-24,0.0246,0.0342,0.0298,0.0099,0.0364
2022-03-25,0.0528,0.0805,0.008,0.0056,0.0569
2022-03-26,0.0171,0.0266,0.0135,0.0059,0.0792
2022-03-27,0.0086,0.0177,0.0172,0.0066,0.051
2022-03-28,0.0056,0.0137,0.0137,0.0059,0.0437
2022-03-29,0.0052,0.0285,0.0145,0.0038,0.0542
2022-03-30,0.0113,0.0157,0.0052,0.0074,0.0349
