date,placebo_cricket,placebo_entertainment
2022-01-01,0.0743,0.085
2022-01-02,0.0596,0.0732
2022-01-03,0.0414,0.0667
2022-01-04,0.0561,0.051
2022-01-05,0.0299,0.0537
2022-01-06,0.0268,0.0545
2022-01-07,0.0231,0.0643
2022-01-08,0.0285,0.0616
2022-01-09,0.037,0.0441
2022-01-10,0.0236,0.0592
2022-01-11,0.033,0.0451
2022-01-12,0.0288,0.0417
2022-01-13,0.0258,0.03
2022-01-14,0.0411,0.053
2022-01-15,0.0476,0.0458
2022-01-16,0.0654,0.0526
2022-01-17,0.0241,0.0449
2022-01-18,0.0227,0.0326
2022-01-19,0.0141,0.0358
2022-01-20,0.011,0.0302
2022-01-21,0.1512,0.0466
2022-01-22,0.0537,0.0484
2022-01-23,0.1395,0.047
2022-01-24,0.0597,0.0491
2022-01-25,0.0231,0.0576
2022-01-26,0.0189,0.0566
2022-01-27,0.0174,0.0417
2022-01-28,0.013,0.0364
2022-01-29,0.0206,0.0451
2022-01-30,0.0143,0.0529
2022-01-31,0.0598,0.0378
2022-02-01,0.0151,0.0539
2022-02-02,0.0216,0.0598
2022-02-03,0.0258,0.0653
2022-02-04,0.03,0.0553
2022-02-05,0.0361,0.0591
2022-02-06,0.0695,0.4624
2022-02-07,0.033,0.1095
2022-02-08,0.0296,0.0564
2022-02-09,0.0118,0.0421
2022-02-10,0.0193,0.0592
2022-02-11,0.0261,0.0586
2022-02-12,0.077,0.0543
2022-02-13,0.0505,0.0594
2022-02-14,0.0456,0.048
2022-02-15,0.0603,0.0464
2022-02-16,0.0196,0.1484
2022-02-17,0.0128,0.0536
2022-02-18,0.0233,0.0405
2022-02-19,0.0373,0.0854
2022-02-20,0.0371,0.0441
2022-02-21,0.0197,0.0514
2022-02-22,0.0144,0.0404
2022-02-23,0.0257,0.0403
2022-02-24,0.0233,0.0412
2022-02-25,0.0239,0.0464
2022-02-26,0.016,0.0568
2022-02-27,0.0359,0.0541
2022-02-28,0.023,0.052
2022-03-01,0.0267,0.0897
2022-03-02,0.0352,0.043
2022-03-03,0.0294,0.0337
2022-03-04,0.0756,0.0483
2022-03-05,0.0524,0.0839
2022-03-06,0.0489,0.038
2022-03-07,0.0241,0.0464
2022-03-08,0.0172,0.0479
2022-03-09,0.0139,0.0437
2022-03-10,0.0144,0.0634
2022-03-11,0.0308,0.0471
2022-03-12,0.0319,0.0651
2022-03-13,0.0236,0.0713
2022-03-14,0.0233,0.0575
2022-03-15,0.0236,0.0587
2022-03-16,0.016,0.0575
2022-03-17,0.0166,0.0476
2022-03-18,0.0118,0.0456
2022-03-19,0.0205,0.0582
2022-03-20,0.0155,0.0774
2022-03-21,0.0156,0.059
2022-03-22,0.0141,0.0533
2022-03-23,0.021,0.0516
2022-03-24,0.0337,0.0726
2022-03-25,0.0289,0.0723
2022-03-26,0.0392,0.099
2022-03-27,0.0525,0.1262
2022-03-28,0.0467,0.0838
2022-03-29,0.0244,0.0651
2022-03-30,0.016,0.0633
2022-03-31,0.029,0.0482
2022-04-01,0.0224,0.0504
2022-04-02,0.0388,0.0701
2022-04-03,0.0228,0.0699
2022-04-04,0.0141,0.0543
2022-04-05,0.0093,0.0704
2022-04-06,0.0466,0.0663
2022-04-07,0.0529,0.0473
2022-04-08,0.0157,0.0459
2022-04-09,0.018,0.0865
2022-04-10,0.0353,0.0607
2022-04-11,0.016,0.0531
2022-04-12,0.016,0.0493
2022-04-13,0.013,0.0308
2022-04-14,0.0286,0.0532
2022-04-15,0.0251,0.0715
2022-04-16,0.0317,0.0885
2022-04-17,0.044,0.0586
2022-04-18,0.0331,0.0652
2022-04-19,0.0245,0.0513
2022-04-20,0.0212,0.066
2022-04-21,0.0183,0.0476
2022-04-22,0.0132,0.0578
2022-04-23,0.0239,0.0615
2022-04-24,0.0429,0.0487
2022-04-25,0.0156,0.0529
2022-04-26,0.0127,0.0394
2022-04-27,0.0177,0.0622
2022-04-28,0.038,0.078
2022-04-29,0.0186,0.0506
2022-04-30,0.0365,0.0906
2022-05-01,0.0287,0.0951
2022-05-02,0.0141,0.0781
2022-05-03,0.0389,0.049
2022-05-04,0.0222,0.0453
2022-05-05,0.0262,0.0518
2022-05-06,0.0146,0.0441
2022-05-07,0.0195,0.079
2022-05-08,0.0091,0.056
2022-05-09,0.0142,0.0585
2022-05-10,0.0081,0.0693
2022-05-11,0.0413,0.0652
2022-05-12,0.0185,0.0463
2022-05-13,0.0206,0.0526
2022-05-14,0.0295,0.0776
2022-05-15,0.0771,0.0845
2022-05-16,0.0211,0.05
2022-05-17,0.0421,0.0578
2022-05-18,0.0242,0.0663
2022-05-19,0.0234,0.0515
2022-05-20,0.0117,0.0509
2022-05-21,0.022,0.074
2022-05-22,0.0228,0.0584
2022-05-23,0.0126,0.0583
2022-05-24,0.0164,0.0562
2022-05-25,0.0193,0.0544
2022-05-26,0.0151,0.0543
2022-05-27,0.0202,0.0728
2022-05-28,0.018,0.0857
2022-05-29,0.0152,0.0778
2022-05-30,0.0361,0.0674
2022-05-31,0.029,0.0986
2022-06-01,0.0283,0.1262
2022-06-02,0.0145,0.0626
2022-06-03,0.0126,0.0725
2022-06-04,0.0237,0.1199
2022-06-05,0.0129,0.0871
2022-06-06,0.0101,0.0728
2022-06-07,0.0367,0.0565
2022-06-08,0.0216,0.0482
2022-06-09,0.0164,0.0465
2022-06-10,0.0308,0.0536
2022-06-11,0.0232,0.0628
2022-06-12,0.0241,0.062
2022-06-13,0.0214,0.0521
2022-06-14,0.0293,0.0493
2022-06-15,0.028,0.0471
2022-06-16,0.0313,0.0424
2022-06-17,0.015,0.0418
2022-06-18,0.0255,0.0521
2022-06-19,0.0104,0.0538
2022-06-20,0.0279,0.0479
2022-06-21,0.0523,0.0574
