date,chokepoint,n_total,n_tanker,n_cargo,capacity
2019-01-01,bab_el_mandeb,50,21,29,2742136
2019-01-01,hormuz,66,42,24,3026901
2019-01-01,malacca,202,77,125,8256941
2019-01-01,suez,60,18,42,3051458
2019-01-02,bab_el_mandeb,59,18,41,2780443
2019-01-02,hormuz,70,45,25,2717512
2019-01-02,malacca,157,65,92,7496931
2019-01-02,suez,50,10,40,2327017
2019-01-03,bab_el_mandeb,58,18,40,2682135
2019-01-03,hormuz,79,54,25,3723380
2019-01-03,malacca,153,68,85,6016625
2019-01-03,suez,61,23,38,2387272
2019-01-04,bab_el_mandeb,47,18,29,2665114
2019-01-04,hormuz,71,42,29,2603055
2019-01-04,malacca,150,62,88,8339152
2019-01-04,suez,46,14,32,2240812
2019-01-05,bab_el_mandeb,74,22,52,3263789
2019-01-05,hormuz,73,41,32,3371403
2019-01-05,malacca,191,87,104,8038443
2019-01-05,suez,44,13,31,2635109
2019-01-06,bab_el_mandeb,51,18,33,2657918
2019-01-06,hormuz,65,40,25,3117231
2019-01-06,malacca,145,50,95,5794486
2019-01-06,suez,49,18,31,1838909
2019-01-07,bab_el_mandeb,61,17,44,2840815
2019-01-07,hormuz,83,60,23,3066456
2019-01-07,malacca,175,67,108,7509548
2019-01-07,suez,47,16,31,2078911
2019-01-08,bab_el_mandeb,50,16,34,1946296
2019-01-08,hormuz,69,42,27,1894332
2019-01-08,malacca,175,64,111,6492040
2019-01-08,suez,48,10,38,2765647
2019-01-09,bab_el_mandeb,48,17,31,2357548
2019-01-09,hormuz,44,26,18,2448291
2019-01-09,malacca,155,67,88,5586788
2019-01-09,suez,59,21,38,2606126
2019-01-10,bab_el_mandeb,40,11,29,2341569
2019-01-10,hormuz,69,43,26,1320234
2019-01-10,malacca,182,73,109,6007177
2019-01-10,suez,49,16,33,2274842
2019-01-11,bab_el_mandeb,56,20,36,2963169
2019-01-11,hormuz,71,49,22,1562384
2019-01-11,malacca,153,59,94,5403945
2019-01-11,suez,54,19,35,2383695
2019-01-12,bab_el_mandeb,40,13,27,1236516
2019-01-12,hormuz,66,42,24,1275641
2019-01-12,malacca,185,80,105,7170257
2019-01-12,suez,45,13,32,2441043
2019-01-13,bab_el_mandeb,49,12,37,2632405
2019-01-13,hormuz,50,28,22,2381564
2019-01-13,malacca,158,57,101,6623132
2019-01-13,suez,40,15,25,2004521
2019-01-14,bab_el_mandeb,48,18,30,2294828
2019-01-14,hormuz,66,43,23,3615187
2019-01-14,malacca,181,76,105,7869502
2019-01-14,suez,54,10,44,1538932
2019-01-15,bab_el_mandeb,49,18,31,2151779
2019-01-15,hormuz,62,32,30,2154833
2019-01-15,malacca,164,61,103,5003170
2019-01-15,suez,49,19,30,2050770
2019-01-16,bab_el_mandeb,64,21,43,2409232
2019-01-16,hormuz,73,37,36,3429086
2019-01-16,malacca,171,72,99,7394933
2019-01-16,suez,42,13,29,2725841
2019-01-17,bab_el_mandeb,45,18,27,1910845
2019-01-17,hormuz,65,37,28,3027122
2019-01-17,malacca,178,81,97,7845358
2019-01-17,suez,39,15,24,1261813
2019-01-18,bab_el_mandeb,49,17,32,1987404
2019-01-18,hormuz,57,38,19,2784696
2019-01-18,malacca,169,75,94,6410535
2019-01-18,suez,42,13,29,2119456
2019-01-19,bab_el_mandeb,56,14,42,2120521
2019-01-19,hormuz,67,41,26,2044640
2019-01-19,malacca,165,57,108,4963698
2019-01-19,suez,50,15,35,2587306
2019-01-20,bab_el_mandeb,53,21,32,2529385
2019-01-20,hormuz,82,50,32,2669218
2019-01-20,malacca,191,71,120,6978322
2019-01-20,suez,55,12,43,1826459
2019-01-21,bab_el_mandeb,40,13,27,1483338
