as_on_date,item,usd_mn
2026-07-17,1 Total Reserves,676237
2026-07-17,1.1 Foreign Currency Assets,551057
2026-07-17,1.2 Gold,101749
2026-07-17,1.3 SDRs,18670
2026-07-17,1.4 Reserve Position in the IMF,4761
2026-07-24,1 Total Reserves,682354
2026-07-24,1.1 Foreign Currency Assets,555929
2026-07-24,1.2 Gold,103058
2026-07-24,1.3 SDRs,18617
2026-07-24,1.4 Reserve Position in the IMF,4750
2026-07-31,1 Total Reserves,692866
2026-07-31,1.1 Foreign Currency Assets,564680
2026-07-31,1.2 Gold,104743
2026-07-31,1.3 SDRs,18666
2026-07-31,1.4 Reserve Position in the IMF,4778
