date,channel,n_articles,n_stories,n_domains,multiplier,n_docs_sampled
2026-08-05,pakistan_west,160,46,144,3.478,119349
2026-08-05,china_east,17,17,13,1.0,119349
2026-08-05,gulf_energy,2945,1627,1186,1.81,119349
2026-08-05,us_trade,172,77,130,2.234,119349
2026-08-05,shipping,477,243,357,1.963,119349
2026-08-06,pakistan_west,71,50,47,1.42,135644
2026-08-06,china_east,20,13,16,1.538,135644
2026-08-06,gulf_energy,2915,1730,1216,1.685,135644
2026-08-06,us_trade,95,59,61,1.61,135644
2026-08-06,shipping,425,261,322,1.628,135644
2026-08-19,pakistan_west,25,22,19,1.136,60610
2026-08-19,china_east,7,7,7,1.0,60610
2026-08-19,gulf_energy,1543,798,761,1.934,60610
2026-08-19,us_trade,72,61,35,1.18,60610
2026-08-19,shipping,100,72,73,1.389,60610
