date,channel,n_matched,n_tone_found,mean_tone
2026-08-05,china_east,17,13,-0.421
2026-08-05,gulf_energy,2945,2744,-1.651
2026-08-05,pakistan_west,160,155,-5.011
2026-08-05,shipping,477,430,-3.417
2026-08-05,us_trade,172,147,-2.032
2026-08-06,china_east,20,17,-1.304
2026-08-06,gulf_energy,2915,2672,-1.544
2026-08-06,pakistan_west,71,63,-3.449
2026-08-06,shipping,425,379,-2.946
2026-08-06,us_trade,95,81,-1.299
2026-08-07,china_east,71,62,-1.224
2026-08-07,gulf_energy,2388,2150,-2.016
2026-08-07,pakistan_west,63,52,-4.187
2026-08-07,shipping,363,306,-4.377
2026-08-07,us_trade,205,177,-2.425
2026-08-18,china_east,2,1,0.38
2026-08-18,gulf_energy,577,541,-2.759
2026-08-18,pakistan_west,18,14,-4.251
2026-08-18,shipping,55,48,-3.07
2026-08-18,us_trade,22,20,1.146
2026-08-19,china_east,7,6,-1.597
2026-08-19,gulf_energy,1543,1419,-2.556
2026-08-19,pakistan_west,25,23,-4.936
2026-08-19,shipping,100,82,-3.31
2026-08-19,us_trade,72,61,-0.363
2026-08-21,china_east,10,7,-0.04
2026-08-21,gulf_energy,712,624,-2.363
2026-08-21,pakistan_west,19,18,-3.161
2026-08-21,shipping,69,53,-4.072
2026-08-21,us_trade,99,93,-4.282
