id,year,type_of_violence,conflict_name,dyad_name,side_a,side_b,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,where_coordinates,latitude,longitude,preliminary
111663,1989,1,India: Bodoland,Government of India - ABSU,Government of India,ABSU,India,Asia,1989-01-01,1989-03-16,35,0,0,0,35,35,35,Assam state,26.000000,93.000000,
71629,1989,1,India - Pakistan,Government of India - Government of Pakistan,Government of India,Government of Pakistan,India,Asia,1989-01-01,1989-12-31,0,0,0,25,25,25,25,LoC,32.565000,74.676000,
85670,1989,3,Sikh insurgents - Civilians,Sikh insurgents - Civilians,Sikh insurgents,Civilians,India,Asia,1989-01-01,1989-01-01,0,0,3,0,3,3,3,Chawinda Devi village,31.714790,75.082214,
86148,1989,3,Sikh insurgents - Civilians,Sikh insurgents - Civilians,Sikh insurgents,Civilians,India,Asia,1989-01-01,1989-01-01,0,0,5,0,5,5,5,Punjab state,30.916670,75.416670,
86200,1989,3,Sikh insurgents - Civilians,Sikh insurgents - Civilians,Sikh insurgents,Civilians,India,Asia,1989-01-01,1989-01-19,0,0,0,0,0,76,0,India,20.000000,77.000000,
90908,1989,1,India: Kashmir,Government of India - Kashmir insurgents,Government of India,Kashmir insurgents,India,Asia,1989-01-01,1989-12-31,8,0,0,0,8,8,0,Jammu and Kashmir state,33.916670,76.666670,
94814,1989,1,India: Punjab/Khalistan,Government of India - Sikh insurgents,Government of India,Sikh insurgents,India,Asia,1989-01-01,1989-12-31,172,633,0,0,805,805,805,Punjab state,30.916670,75.416670,
94817,1989,1,India: Punjab/Khalistan,Government of India - Sikh insurgents,Government of India,Sikh insurgents,India,Asia,1989-01-01,1989-01-01,2,3,0,0,5,5,5,Batala town,31.809355,75.217601,
94793,1989,1,India: Punjab/Khalistan,Government of India - Sikh insurgents,Government of India,Sikh insurgents,India,Asia,1989-01-02,1989-01-02,0,1,0,0,1,1,1,Punjab state,30.916670,75.416670,
94815,1989,1,India: Punjab/Khalistan,Government of India - Sikh insurgents,Government of India,Sikh insurgents,India,Asia,1989-01-04,1989-01-04,2,2,0,0,4,4,4,Punjab state,30.916670,75.416670,
86201,1989,3,Sikh insurgents - Civilians,Sikh insurgents - Civilians,Sikh insurgents,Civilians,India,Asia,1989-01-05,1989-01-05,0,0,1,0,1,1,1,Amritsar town,31.632780,74.901359,
86231,1989,3,Sikh insurgents - Civilians,Sikh insurgents - Civilians,Sikh insurgents,Civilians,India,Asia,1989-01-06,1989-01-06,0,0,10,0,10,10,10,Amritsar district,31.566257,74.825378,
86811,1989,3,Sikh insurgents - Civilians,Sikh insurgents - Civilians,Sikh insurgents,Civilians,India,Asia,1989-01-11,1989-01-11,0,0,4,0,4,4,4,Amritsar town,31.632780,74.901359,
86875,1989,3,Sikh insurgents - Civilians,Sikh insurgents - Civilians,Sikh insurgents,Civilians,India,Asia,1989-01-12,1989-01-12,0,0,1,0,1,1,1,Jalandhar town,31.323559,75.558795,
94818,1989,1,India: Punjab/Khalistan,Government of India - Sikh insurgents,Government of India,Sikh insurgents,India,Asia,1989-01-12,1989-01-12,0,4,0,0,4,4,4,Amritsar town,31.632780,74.901359,
94810,1989,1,India: Punjab/Khalistan,Government of India - Sikh insurgents,Government of India,Sikh insurgents,India,Asia,1989-01-13,1989-01-15,0,0,1,0,1,1,1,Punjab state,30.916670,75.416670,
94778,1989,1,India: Punjab/Khalistan,Government of India - Sikh insurgents,Government of India,Sikh insurgents,India,Asia,1989-01-18,1989-01-20,2,8,0,0,10,10,10,Punjab state,30.916670,75.416670,
86757,1989,1,India: Government,Government of India - PWG,Government of India,PWG,India,Asia,1989-02-01,1989-02-01,7,0,0,0,7,7,7,Adilabad district,19.264791,78.251174,
86876,1989,3,Sikh insurgents - Civilians,Sikh insurgents - Civilians,Sikh insurgents,Civilians,India,Asia,1989-02-04,1989-02-04,0,0,1,0,1,1,1,Chandigarh town,30.736290,76.788400,
94819,1989,1,India: Punjab/Khalistan,Government of India - Sikh insurgents,Government of India,Sikh insurgents,India,Asia,1989-02-04,1989-02-05,0,2,0,3,5,5,5,Firozpur district,30.716845,74.301841,
86877,1989,3,Sikh insurgents - Civilians,Sikh insurgents - Civilians,Sikh insurgents,Civilians,India,Asia,1989-02-05,1989-02-05,0,0,2,0,2,2,2,Punjab state,30.916670,75.416670,
87332,1989,3,Sikh insurgents - Civilians,Sikh insurgents - Civilians,Sikh insurgents,Civilians,India,Asia,1989-02-16,1989-05-16,0,0,1,0,1,156,1,Kot Kapura town,30.565466,74.825962,
89446,1989,1,India: Bodoland,Government of India - ABSU,Government of India,ABSU,India,Asia,1989-02-16,1989-02-16,0,0,0,0,0,4,0,Assam state,26.000000,93.000000,
94820,1989,1,India: Punjab/Khalistan,Government of India - Sikh insurgents,Government of India,Sikh insurgents,India,Asia,1989-02-17,1989-02-17,0,1,0,0,1,1,1,Jalandhar town,31.323559,75.558795,
85994,1989,1,India: Bodoland,Government of India - ABSU,Government of India,ABSU,India,Asia,1989-02-18,1989-02-18,0,2,0,0,2,2,2,Bengtol village,26.625760,90.483352,
