channel,label,start,end,peak_date,peak_value,n_spike_days
china_east,China / Eastern Border,2017-03-03,2017-03-04,2017-03-03,0.0552,2
shipping,Shipping & Chokepoints,2017-03-04,2017-03-05,2017-03-05,0.1242,2
shipping,Shipping & Chokepoints,2017-03-14,2017-03-15,2017-03-14,0.2063,2
gulf_energy,Gulf & Energy Security,2017-03-24,2017-03-28,2017-03-24,0.2766,3
china_east,China / Eastern Border,2017-04-01,2017-04-08,2017-04-05,0.0811,6
shipping,Shipping & Chokepoints,2017-04-03,2017-04-03,2017-04-03,0.1554,1
shipping,Shipping & Chokepoints,2017-04-08,2017-04-09,2017-04-09,0.2948,2
us_trade,US & Trade Policy,2017-04-18,2017-04-18,2017-04-18,0.1318,1
pakistan_west,Pakistan / Western Border,2017-04-27,2017-04-27,2017-04-27,0.0647,1
pakistan_west,Pakistan / Western Border,2017-05-01,2017-05-03,2017-05-02,0.1523,3
pakistan_west,Pakistan / Western Border,2017-05-13,2017-05-14,2017-05-13,0.1651,2
gulf_energy,Gulf & Energy Security,2017-05-22,2017-05-22,2017-05-22,0.2155,1
pakistan_west,Pakistan / Western Border,2017-05-24,2017-05-24,2017-05-24,0.1087,1
china_east,China / Eastern Border,2017-05-26,2017-05-29,2017-05-26,0.082,2
pakistan_west,Pakistan / Western Border,2017-06-03,2017-06-03,2017-06-03,0.11,1
gulf_energy,Gulf & Energy Security,2017-06-05,2017-06-09,2017-06-05,0.2577,4
us_trade,US & Trade Policy,2017-06-25,2017-06-27,2017-06-27,0.0772,2
china_east,China / Eastern Border,2017-07-05,2017-07-06,2017-07-05,0.0702,2
gulf_energy,Gulf & Energy Security,2017-07-06,2017-07-09,2017-07-06,0.2163,2
us_trade,US & Trade Policy,2017-07-06,2017-07-07,2017-07-07,0.1377,2
pakistan_west,Pakistan / Western Border,2017-07-08,2017-07-09,2017-07-09,0.1104,2
china_east,China / Eastern Border,2017-07-10,2017-07-11,2017-07-11,0.0745,2
shipping,Shipping & Chokepoints,2017-07-12,2017-07-12,2017-07-12,0.1164,1
china_east,China / Eastern Border,2017-07-19,2017-07-19,2017-07-19,0.0628,1
china_east,China / Eastern Border,2017-07-24,2017-07-25,2017-07-24,0.0811,2
gulf_energy,Gulf & Energy Security,2017-07-26,2017-07-29,2017-07-26,0.3075,3
gulf_energy,Gulf & Energy Security,2017-08-05,2017-08-05,2017-08-05,0.263,1
shipping,Shipping & Chokepoints,2017-08-06,2017-08-06,2017-08-06,0.1624,1
shipping,Shipping & Chokepoints,2017-08-11,2017-08-11,2017-08-11,0.1363,1
china_east,China / Eastern Border,2017-08-12,2017-08-12,2017-08-12,0.0871,1
shipping,Shipping & Chokepoints,2017-08-21,2017-08-24,2017-08-21,0.3771,3
china_east,China / Eastern Border,2017-08-28,2017-08-28,2017-08-28,0.1897,1
pakistan_west,Pakistan / Western Border,2017-09-22,2017-09-22,2017-09-22,0.0963,1
gulf_energy,Gulf & Energy Security,2017-10-14,2017-10-17,2017-10-17,0.2122,2
us_trade,US & Trade Policy,2017-11-10,2017-11-11,2017-11-10,0.0493,2
shipping,Shipping & Chokepoints,2017-11-25,2017-11-26,2017-11-25,0.3779,2
gulf_energy,Gulf & Energy Security,2017-12-03,2017-12-07,2017-12-06,0.2079,3
china_east,China / Eastern Border,2017-12-07,2017-12-07,2017-12-07,0.0574,1
shipping,Shipping & Chokepoints,2017-12-23,2017-12-23,2017-12-23,0.2427,1
pakistan_west,Pakistan / Western Border,2017-12-24,2017-12-27,2017-12-26,0.1227,3
gulf_energy,Gulf & Energy Security,2017-12-25,2017-12-25,2017-12-25,0.2617,1
us_trade,US & Trade Policy,2017-12-29,2017-12-31,2017-12-31,0.0321,2
pakistan_west,Pakistan / Western Border,2017-12-31,2017-12-31,2017-12-31,0.0912,1
gulf_energy,Gulf & Energy Security,2018-01-04,2018-01-04,2018-01-04,0.2089,1
us_trade,US & Trade Policy,2018-01-09,2018-01-10,2018-01-09,0.0362,2
gulf_energy,Gulf & Energy Security,2018-01-12,2018-01-13,2018-01-13,0.2254,2
pakistan_west,Pakistan / Western Border,2018-01-15,2018-01-15,2018-01-15,0.1059,1
pakistan_west,Pakistan / Western Border,2018-01-19,2018-01-21,2018-01-20,0.1154,3
us_trade,US & Trade Policy,2018-01-23,2018-01-24,2018-01-23,0.0529,2
us_trade,US & Trade Policy,2018-01-30,2018-01-30,2018-01-30,0.0407,1
gulf_energy,Gulf & Energy Security,2018-02-10,2018-02-11,2018-02-10,0.4407,2
china_east,China / Eastern Border,2018-02-15,2018-02-15,2018-02-15,0.0427,1
us_trade,US & Trade Policy,2018-02-17,2018-02-17,2018-02-17,0.038,1
