channel,outcome,window_trading_days,mean_cum_log_return_pct,ci95_lo,ci95_hi,p_boot,bh_significant_10pct,n_episodes,descriptive_only
china_east,nifty_minus_em,1,0.053,-0.173,0.305,0.714,False,115,False
china_east,nifty_minus_em,5,0.372,-0.001,0.755,0.054,False,115,False
china_east,nifty_minus_em,20,0.25,-0.712,1.182,0.63,False,113,False
china_east,defence_minus_nifty,1,0.155,-0.172,0.465,0.352,False,115,False
china_east,defence_minus_nifty,5,0.167,-0.52,0.906,0.736,False,115,False
china_east,defence_minus_nifty,20,2.009,0.714,3.329,0.004,True,114,False
china_east,usdinr_minus_dxy,1,-0.044,-0.149,0.077,0.488,False,115,False
china_east,usdinr_minus_dxy,5,-0.037,-0.201,0.133,0.72,False,115,False
china_east,usdinr_minus_dxy,20,0.113,-0.199,0.427,0.472,False,113,False
china_east,brent_ret,1,-0.045,-0.508,0.432,0.822,,115,True
china_east,brent_ret,5,-0.613,-1.721,0.411,0.254,,115,True
china_east,brent_ret,20,1.527,-0.752,3.531,0.192,,114,True
china_east,gold_ret,1,-0.003,-0.178,0.166,0.96,,115,True
china_east,gold_ret,5,0.186,-0.181,0.547,0.338,,115,True
china_east,gold_ret,20,1.097,0.371,1.838,0.004,,114,True
gulf_energy,nifty_minus_em,1,-0.16,-0.397,0.089,0.204,False,86,False
gulf_energy,nifty_minus_em,5,0.169,-0.268,0.598,0.462,False,86,False
gulf_energy,nifty_minus_em,20,0.583,-0.426,1.678,0.266,False,86,False
gulf_energy,defence_minus_nifty,1,0.056,-0.321,0.421,0.786,False,86,False
gulf_energy,defence_minus_nifty,5,0.218,-0.675,1.167,0.634,False,86,False
gulf_energy,defence_minus_nifty,20,1.301,-0.437,2.99,0.142,False,86,False
gulf_energy,usdinr_minus_dxy,1,0.014,-0.11,0.133,0.842,False,86,False
gulf_energy,usdinr_minus_dxy,5,-0.103,-0.322,0.129,0.316,False,86,False
gulf_energy,usdinr_minus_dxy,20,0.176,-0.243,0.629,0.424,False,86,False
gulf_energy,brent_ret,1,-0.007,-0.568,0.551,0.978,,86,True
gulf_energy,brent_ret,5,0.925,-0.394,2.181,0.166,,86,True
gulf_energy,brent_ret,20,1.342,-0.807,3.686,0.234,,86,True
gulf_energy,gold_ret,1,0.287,0.102,0.471,0.001,,86,True
gulf_energy,gold_ret,5,0.484,-0.017,0.906,0.052,,86,True
gulf_energy,gold_ret,20,1.525,0.627,2.35,0.001,,86,True
pakistan_west,nifty_minus_em,1,-0.008,-0.21,0.2,0.95,False,106,False
pakistan_west,nifty_minus_em,5,0.183,-0.225,0.586,0.34,False,106,False
pakistan_west,nifty_minus_em,20,1.493,0.597,2.356,0.001,True,106,False
pakistan_west,defence_minus_nifty,1,-0.127,-0.462,0.176,0.418,False,106,False
pakistan_west,defence_minus_nifty,5,0.552,-0.179,1.258,0.152,False,106,False
pakistan_west,defence_minus_nifty,20,2.604,0.951,4.257,0.002,True,106,False
pakistan_west,usdinr_minus_dxy,1,0.061,-0.044,0.163,0.258,False,106,False
pakistan_west,usdinr_minus_dxy,5,0.174,-0.028,0.375,0.096,False,106,False
pakistan_west,usdinr_minus_dxy,20,0.251,-0.09,0.572,0.162,False,106,False
pakistan_west,brent_ret,1,0.042,-0.412,0.479,0.834,,106,True
pakistan_west,brent_ret,5,0.257,-0.669,1.08,0.572,,106,True
pakistan_west,brent_ret,20,0.323,-1.49,2.087,0.71,,106,True
pakistan_west,gold_ret,1,-0.11,-0.286,0.066,0.216,,106,True
pakistan_west,gold_ret,5,0.321,-0.066,0.702,0.08,,106,True
pakistan_west,gold_ret,20,0.522,-0.239,1.321,0.168,,106,True
shipping,nifty_minus_em,1,0.005,-0.257,0.259,0.89,False,110,False
shipping,nifty_minus_em,5,-0.084,-0.526,0.367,0.704,False,110,False
shipping,nifty_minus_em,20,0.281,-0.677,1.242,0.574,False,110,False
shipping,defence_minus_nifty,1,0.117,-0.202,0.443,0.468,False,110,False
shipping,defence_minus_nifty,5,0.495,-0.22,1.195,0.16,False,110,False
shipping,defence_minus_nifty,20,1.792,0.578,3.009,0.004,True,110,False
shipping,usdinr_minus_dxy,1,0.02,-0.065,0.114,0.664,False,110,False
shipping,usdinr_minus_dxy,5,0.036,-0.116,0.194,0.67,False,110,False
shipping,usdinr_minus_dxy,20,0.195,-0.164,0.507,0.262,False,110,False
shipping,brent_ret,1,0.241,-0.28,0.711,0.354,,110,True
shipping,brent_ret,5,0.217,-0.78,1.133,0.632,,110,True
shipping,brent_ret,20,0.924,-0.882,2.864,0.362,,110,True
shipping,gold_ret,1,-0.103,-0.316,0.088,0.328,,110,True
shipping,gold_ret,5,0.172,-0.287,0.578,0.48,,110,True
shipping,gold_ret,20,1.076,0.289,1.895,0.014,,110,True
us_trade,nifty_minus_em,1,0.011,-0.269,0.29,0.942,False,100,False
us_trade,nifty_minus_em,5,0.429,-0.062,0.944,0.092,False,100,False
us_trade,nifty_minus_em,20,0.667,-0.259,1.548,0.156,False,100,False
us_trade,defence_minus_nifty,1,-0.096,-0.489,0.327,0.676,False,100,False
us_trade,defence_minus_nifty,5,-0.372,-1.188,0.452,0.328,False,100,False
us_trade,defence_minus_nifty,20,0.05,-1.553,1.637,0.954,False,100,False
us_trade,usdinr_minus_dxy,1,-0.045,-0.157,0.071,0.392,False,100,False
us_trade,usdinr_minus_dxy,5,-0.017,-0.233,0.188,0.884,False,100,False
us_trade,usdinr_minus_dxy,20,0.522,0.174,0.905,0.001,True,100,False
us_trade,brent_ret,1,0.213,-0.185,0.635,0.32,,100,True
