date,pakistan_west,china_east,gulf_energy,us_trade,shipping,composite
2017-06-29,72.8,93.9,64.4,68.3,15.6,63.0
2017-06-30,64.6,95.0,47.5,66.9,32.0,61.2
2017-07-01,87.9,90.7,49.5,15.4,92.9,67.3
2017-07-02,61.2,94.5,49.7,4.4,41.0,50.2
2017-07-03,69.0,90.8,52.7,52.7,32.1,59.5
2017-07-04,51.4,93.5,55.7,19.5,61.1,56.2
2017-07-05,53.2,97.3,90.9,69.4,9.1,64.0
2017-07-06,31.6,96.3,96.8,95.2,55.6,75.1
2017-07-07,23.9,81.4,86.2,100.0,73.4,73.0
2017-07-08,95.8,83.1,87.8,92.6,74.1,86.7
2017-07-09,96.8,91.1,95.3,88.9,68.9,88.2
2017-07-10,89.0,95.3,93.7,47.6,79.1,80.9
2017-07-11,35.9,99.0,55.7,43.2,51.6,57.1
2017-07-12,60.6,83.9,48.7,15.5,94.8,60.7
2017-07-13,74.2,87.1,70.6,24.2,82.5,67.7
2017-07-14,41.5,91.3,47.2,15.9,6.7,40.5
2017-07-15,54.1,91.3,38.8,22.4,86.7,58.7
2017-07-16,91.4,83.8,58.9,0.5,23.4,51.6
2017-07-17,94.4,92.9,79.8,33.3,26.3,65.4
2017-07-18,92.0,95.0,71.4,8.5,36.2,60.6
2017-07-19,80.0,96.0,61.0,42.5,19.0,59.7
2017-07-20,78.1,92.0,61.7,41.8,4.5,55.6
2017-07-21,61.4,80.2,37.1,29.7,7.4,43.2
2017-07-22,62.1,85.7,68.5,19.2,15.8,50.2
2017-07-23,55.9,65.7,89.2,2.9,65.2,55.8
2017-07-24,37.1,99.5,79.0,19.0,10.2,49.0
2017-07-25,35.4,95.6,92.7,71.8,56.8,70.5
2017-07-26,49.8,94.7,100.0,20.3,60.9,65.1
2017-07-27,28.4,91.3,98.1,44.7,26.9,57.9
2017-07-28,29.7,81.8,91.4,14.8,45.9,52.7
2017-07-29,61.0,77.1,97.6,1.9,85.2,64.6
2017-07-30,52.6,76.8,70.6,7.1,48.8,51.2
2017-07-31,70.3,87.7,76.4,26.9,27.8,57.8
2017-08-01,52.1,93.4,70.9,41.8,87.3,69.1
2017-08-02,67.8,80.8,91.6,66.4,71.5,75.6
2017-08-03,54.0,86.5,93.5,54.4,63.7,70.4
2017-08-04,69.4,95.4,42.6,44.0,11.6,52.6
2017-08-05,37.3,93.1,98.6,5.1,66.4,60.1
2017-08-06,21.1,72.5,62.8,5.0,98.6,52.0
2017-08-07,66.7,72.1,23.3,10.5,89.5,52.4
2017-08-08,65.5,84.1,54.5,70.5,88.6,72.6
2017-08-09,27.6,87.3,33.9,41.2,89.1,55.8
2017-08-10,92.8,71.2,49.1,48.6,74.3,67.2
2017-08-11,17.5,93.3,37.7,26.5,96.9,54.3
2017-08-12,70.1,100.0,7.6,41.1,85.3,60.8
2017-08-13,90.7,88.4,50.7,28.4,85.3,68.7
2017-08-14,88.5,68.1,41.2,71.2,52.2,64.2
2017-08-15,80.2,75.8,52.0,71.8,14.5,58.9
2017-08-16,86.8,96.5,48.2,60.1,36.4,65.6
2017-08-17,54.1,83.4,27.1,65.9,66.8,59.5
2017-08-18,12.2,69.6,23.0,47.0,77.4,45.8
2017-08-19,29.4,72.7,12.1,60.2,69.3,48.7
2017-08-20,22.8,63.8,17.2,52.6,87.5,48.8
2017-08-21,48.9,93.1,26.6,84.5,100.0,70.6
2017-08-22,31.6,73.5,17.1,61.1,98.7,56.4
2017-08-23,18.7,54.0,34.0,33.6,93.6,46.8
2017-08-24,80.9,89.4,78.0,1.3,99.2,69.7
2017-08-25,46.0,56.5,21.1,30.4,89.5,48.7
2017-08-26,52.1,51.3,3.4,0.4,89.1,39.2
2017-08-27,51.5,69.0,66.1,6.3,90.8,56.7
2017-08-28,68.8,100.0,69.2,9.6,84.6,66.4
2017-08-29,35.7,97.1,51.9,25.7,21.6,46.4
2017-08-30,5.4,91.7,50.4,29.8,65.7,48.6
2017-08-31,17.3,66.3,50.2,11.1,91.8,47.3
2017-09-01,13.1,78.7,11.5,23.0,86.5,42.5
2017-09-02,16.3,66.5,18.8,2.4,22.9,25.4
2017-09-03,32.9,65.0,30.9,67.9,29.3,45.2
2017-09-04,10.5,90.3,27.5,86.6,21.5,47.3
2017-09-05,15.7,86.3,25.4,71.0,71.0,53.9
2017-09-06,22.5,39.4,13.7,30.5,94.0,40.0
2017-09-07,50.4,58.8,50.4,25.2,67.6,50.5
2017-09-08,7.2,51.0,51.8,14.3,80.9,41.0
2017-09-09,36.9,52.4,22.2,26.6,94.4,46.5
2017-09-10,49.8,62.5,73.9,26.9,59.3,54.5
2017-09-11,64.6,40.2,48.4,39.8,13.4,41.3
2017-09-12,49.4,27.1,30.6,20.8,69.4,39.5
2017-09-13,12.9,59.0,61.3,27.0,71.5,46.3
2017-09-14,35.8,66.5,80.5,57.2,36.6,55.3
2017-09-15,63.2,63.6,55.0,45.7,26.4,50.8
2017-09-16,93.1,56.0,2.3,5.0,27.0,36.7
2017-09-17,75.4,43.1,49.2,14.6,50.0,46.5
2017-09-18,36.4,43.3,81.2,29.1,24.1,42.8
2017-09-19,20.2,48.9,87.4,41.2,67.6,53.1
2017-09-20,42.6,40.3,85.6,33.1,72.6,54.8
2017-09-21,51.9,24.6,49.2,17.4,33.3,35.3
2017-09-22,95.8,17.7,54.7,49.1,51.7,53.8
2017-09-23,79.7,54.5,62.8,19.5,24.1,48.1
2017-09-24,89.1,53.2,67.8,31.8,54.7,59.3
2017-09-25,69.4,13.8,47.4,48.9,35.1,42.9
2017-09-26,89.2,24.2,77.3,41.6,79.9,62.5
2017-09-27,81.5,25.9,56.3,15.2,9.6,37.7
2017-09-28,43.9,22.9,39.9,22.5,40.2,33.9
2017-09-29,87.1,55.5,52.9,14.3,0.7,42.1
2017-09-30,80.2,89.0,35.5,9.2,30.4,48.9
2017-10-01,53.3,88.7,6.9,0.4,5.1,30.9
2017-10-02,86.5,62.2,28.7,7.6,58.2,48.7
2017-10-03,68.5,18.5,46.0,20.3,66.3,43.9
2017-10-04,85.6,24.5,36.1,53.1,45.8,49.0
2017-10-05,62.9,31.3,50.7,11.5,49.3,41.2
2017-10-06,58.8,98.2,40.9,30.8,82.1,62.2
2017-10-07,34.6,77.1,33.9,2.5,73.2,44.3
2017-10-08,39.5,95.4,13.2,1.8,33.5,36.7
2017-10-09,24.5,73.8,82.3,24.5,37.2,48.4
2017-10-10,23.3,27.9,51.2,26.9,53.7,36.6
2017-10-11,28.2,28.2,40.5,29.2,30.6,31.3
