date,pakistan_west,china_east,gulf_energy,us_trade,shipping,source
2017-01-01,0.1005,0.025,0.0568,0.0196,0.0713,doc_api
2017-01-02,0.0554,0.0241,0.0435,0.0123,0.0511,doc_api
2017-01-03,0.0479,0.026,0.0509,0.0359,0.0457,doc_api
2017-01-04,0.0472,0.0284,0.0531,0.016,0.0643,doc_api
2017-01-05,0.07,0.0163,0.067,0.0186,0.071,doc_api
2017-01-06,0.0574999999999999,0.0164,0.0588,0.0172,0.0411,doc_api
2017-01-07,0.0586,0.0248,0.063,0.0133,0.0858,doc_api
2017-01-08,0.036,0.0192,0.0534,0.0239,0.0915,doc_api
2017-01-09,0.0356999999999999,0.0146,0.1991,0.0204,0.0607,doc_api
2017-01-10,0.0351999999999999,0.0142,0.1235,0.0234,0.0459,doc_api
2017-01-11,0.034,0.0145,0.0878,0.0218,0.0616,doc_api
2017-01-12,0.0295,0.0088,0.1175,0.0245,0.0636,doc_api
2017-01-13,0.0416,0.0092,0.1129,0.0276,0.036,doc_api
2017-01-14,0.031,0.0106,0.0914,0.0171,0.0492,doc_api
2017-01-15,0.0718999999999999,0.0223,0.1092,0.0249,0.1067,doc_api
2017-01-16,0.0579,0.0122,0.1134,0.0389,0.0956,doc_api
2017-01-17,0.0683,0.0165,0.0739,0.1047,0.0431,doc_api
2017-01-18,0.0359,0.0163,0.0856,0.0728,0.0424,doc_api
2017-01-19,0.0325,0.013,0.0935,0.0478,0.0562,doc_api
2017-01-20,0.0281,0.0144,0.0722,0.0734,0.0277,doc_api
2017-01-21,0.1122,0.0063,0.0781,0.0431,0.03,doc_api
2017-01-22,0.0272,0.0239,0.0838,0.0375,0.0595,doc_api
2017-01-23,0.0179,0.0131,0.0666,0.0492,0.0459,doc_api
2017-01-24,0.0344,0.0121,0.1073,0.0763,0.0444,doc_api
2017-01-25,0.03,0.0087,0.1413,0.0559,0.044,doc_api
2017-01-26,0.0613,0.0261,0.0885,0.0432,0.0506,doc_api
2017-01-27,0.0386,0.0162,0.077,0.0451,0.0375,doc_api
2017-01-28,0.0831,0.02,0.1007,0.0341,0.0531,doc_api
2017-01-29,0.0368,0.0122,0.0994,0.0427,0.0738,doc_api
2017-01-30,0.0355,0.0091,0.0626,0.0306,0.051,doc_api
2017-01-31,0.0834,0.0134,0.089,0.0961,0.0744,doc_api
2017-02-01,0.0284,0.0091,0.1182,0.0514,0.0505,doc_api
2017-02-02,0.0250999999999999,0.0072,0.1069,0.0546,0.0535,doc_api
2017-02-03,0.0355,0.0108,0.2325,0.0415,0.0632,doc_api
2017-02-04,0.0546,0.0336,0.1686,0.0383,0.0484,doc_api
2017-02-05,0.0437,0.0182,0.1833,0.03,0.0615,doc_api
2017-02-06,0.0385999999999999,0.0107,0.1644,0.0332,0.03,doc_api
2017-02-07,0.048,0.006,0.0987,0.0221,0.0558,doc_api
2017-02-08,0.0341,0.008,0.0769,0.0292,0.0621,doc_api
2017-02-09,0.0207,0.0041,0.088,0.0166,0.0473,doc_api
2017-02-10,0.0137,0.0058,0.0979,0.016,0.0455,doc_api
2017-02-11,0.0407,0.0107,0.1166,0.0144,0.0592,doc_api
2017-02-12,0.0188,0.0092,0.1681,0.0148,0.0636,doc_api
2017-02-13,0.0205,0.0548,0.1162,0.0477,0.0394,doc_api
2017-02-14,0.0303999999999999,0.016,0.1061,0.0234,0.0364,doc_api
2017-02-15,0.0308,0.0136,0.1613,0.0305,0.0347,doc_api
2017-02-16,0.0136,0.0172,0.1721,0.0196,0.036,doc_api
2017-02-17,0.0109,0.0123,0.1484,0.0155,0.0373,doc_api
2017-02-18,0.0192,0.0101,0.1371,0.0095,0.0536,doc_api
2017-02-19,0.0232,0.011,0.1034,0.0152,0.0746,doc_api
2017-02-20,0.0192,0.0147,0.0949,0.0236,0.0604,doc_api
2017-02-21,0.0326,0.0063,0.1428,0.0383,0.0477,doc_api
2017-02-22,0.0183,0.0137,0.0846,0.0271,0.0369,doc_api
2017-02-23,0.0108,0.0163,0.1206,0.0136,0.0375,doc_api
2017-02-24,0.0212,0.0103,0.0817,0.0209,0.0688,doc_api
2017-02-25,0.0216,0.013,0.0586,0.0957,0.0849,doc_api
2017-02-26,0.0261,0.0067,0.1879,0.0214,0.1777,doc_api
2017-02-27,0.0104,0.0049,0.1492,0.023,0.1193,doc_api
2017-02-28,0.0115,0.0098,0.1089,0.0216,0.0623,doc_api
2017-03-01,0.0247,0.0073,0.0779,0.0104,0.0651,doc_api
2017-03-02,0.0196,0.0058,0.0743,0.0113,0.0465,doc_api
2017-03-03,0.0246,0.0552,0.0745,0.023,0.0405,doc_api
2017-03-04,0.0191,0.0402,0.0761,0.0254,0.1131,doc_api
2017-03-05,0.0189,0.0091,0.1321,0.0321,0.1242,doc_api
2017-03-06,0.046,0.0184,0.156,0.0264,0.0696,doc_api
2017-03-07,0.0242,0.0091,0.1239,0.0137,0.0622,doc_api
2017-03-08,0.0098999999999999,0.0056,0.1226,0.0114,0.0714,doc_api
2017-03-09,0.0435,0.0104,0.1425,0.0265,0.0515,doc_api
2017-03-10,0.0454,0.0095,0.0993,0.0214,0.0508,doc_api
2017-03-11,0.0517,0.0145,0.0689,0.01,0.0697,doc_api
2017-03-12,0.031,0.014,0.0738,0.0117,0.0535,doc_api
2017-03-13,0.0229,0.005,0.0675,0.0083,0.0406,doc_api
2017-03-14,0.0392,0.0094,0.1285,0.0076,0.2063,doc_api
2017-03-15,0.029,0.0074,0.1331,0.0118,0.1256,doc_api
2017-03-16,0.0319,0.0119,0.1202,0.0112,0.1102,doc_api
2017-03-17,0.0259,0.0156,0.0702,0.0153,0.1105,doc_api
2017-03-18,0.0345,0.0103,0.0532,0.0246,0.0754,doc_api
2017-03-19,0.0322,0.0116,0.0776,0.0172,0.0742,doc_api
2017-03-20,0.0383,0.0166,0.0771,0.0197,0.0618,doc_api
2017-03-21,0.0282,0.0134,0.0899,0.0155,0.0527,doc_api
2017-03-22,0.0269,0.0065,0.1384,0.0154,0.0516,doc_api
2017-03-23,0.0303,0.0137,0.1093,0.0165,0.0364,doc_api
2017-03-24,0.0214,0.0134,0.2766,0.018,0.049,doc_api
2017-03-25,0.0389,0.0133,0.1464,0.0098,0.0628,doc_api
2017-03-26,0.0135,0.0095,0.273,0.0104,0.0678,doc_api
2017-03-27,0.01,0.0085,0.1024,0.019,0.0523,doc_api
2017-03-28,0.0106,0.008,0.2521,0.0163,0.0494,doc_api
2017-03-29,0.0112,0.0137,0.1196,0.021,0.0362,doc_api
2017-03-30,0.0135,0.0101,0.1219,0.0138,0.0568,doc_api
2017-03-31,0.0141,0.0189,0.0869,0.0351,0.0765,doc_api
2017-04-01,0.0218,0.0705,0.0742,0.0126,0.061,doc_api
2017-04-02,0.0213,0.0361,0.0576,0.012,0.0508,doc_api
2017-04-03,0.0289,0.0229,0.071,0.0291,0.1554,doc_api
2017-04-04,0.0149,0.0584,0.0631,0.0359,0.0745,doc_api
2017-04-05,0.0247,0.0811,0.0626,0.0227,0.0675,doc_api
2017-04-06,0.0152,0.0711,0.0825,0.0226,0.0771,doc_api
2017-04-07,0.0115,0.0311,0.0928,0.0331,0.0491,doc_api
2017-04-08,0.017,0.0744,0.095,0.0128,0.1383,doc_api
2017-04-09,0.009,0.0391,0.1062,0.0189,0.2948,doc_api
2017-04-10,0.0392,0.0321,0.1506,0.0305,0.1408,doc_api
