channel,query_month,rank,analog_month,distance,n_features_used,features_used,features_excluded_as_null
pakistan_west,1980-01,1,2013-05,0.104357,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-01,2,2008-05,0.106486,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-01,3,1993-03,0.207112,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-01,4,1982-01,0.23529,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-01,5,2006-07,0.256207,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-02,1,1982-09,0.059974,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-02,2,2006-10,0.085698,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-02,3,1983-02,0.093157,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-02,4,2006-08,0.095457,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-02,5,1988-03,0.09694,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-03,1,1992-02,0.055984,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-03,2,2019-08,0.061992,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-03,3,1988-04,0.063662,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-03,4,1992-08,0.081405,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-03,5,1988-06,0.099884,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-04,1,2019-12,0.036595,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-04,2,1988-07,0.057754,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-04,3,1992-09,0.072015,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-04,4,2019-06,0.072387,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-04,5,2013-06,0.084728,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-05,1,1986-08,0.041758,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-05,2,1988-03,0.071344,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-05,3,1993-02,0.104516,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-05,4,2014-05,0.107956,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-05,5,1982-07,0.111722,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-06,1,2019-06,0.020694,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-06,2,1993-09,0.028094,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-06,3,2019-11,0.043059,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-06,4,2019-12,0.060843,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-06,5,1992-09,0.079412,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-07,1,2013-09,0.090125,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-07,2,1992-11,0.099753,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-07,3,1991-05,0.114453,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-07,4,1986-09,0.122968,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-07,5,2019-03,0.123654,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-08,1,1985-04,0.033876,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-08,2,1985-03,0.051106,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-08,3,2013-01,0.066914,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-08,4,1984-12,0.090697,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-08,5,1992-02,0.096047,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-09,1,1985-03,0.009647,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-09,2,1992-02,0.07115,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-09,3,1984-12,0.075516,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-09,4,1985-04,0.079502,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-09,5,2019-08,0.098847,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-10,1,1993-07,0.009445,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-10,2,1991-07,0.022987,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-10,3,1991-12,0.068968,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-10,4,1984-08,0.077149,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-10,5,2013-02,0.086194,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-11,1,1991-09,0.017568,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-11,2,2008-06,0.055336,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-11,3,1993-04,0.068167,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-11,4,1993-06,0.071814,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-11,5,1991-10,0.09477,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-12,1,1991-09,0.006855,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-12,2,2008-06,0.058367,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-12,3,1993-06,0.062136,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-12,4,1993-04,0.079832,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1980-12,5,1991-10,0.08338,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-01,1,1983-01,0.055014,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-01,2,1988-11,0.138262,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-01,3,1993-08,0.150136,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-01,4,2005-11,0.262939,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-01,5,2014-09,0.267666,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-02,1,2015-02,0.04848,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-02,2,1994-01,0.06573,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-02,3,1982-08,0.083714,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-02,4,2013-07,0.087609,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-02,5,1983-04,0.092713,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-03,1,1995-07,0.046662,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-03,2,1993-11,0.067433,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-03,3,1983-10,0.099111,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-03,4,1991-02,0.122961,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-03,5,1988-02,0.129136,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-04,1,2015-01,0.011571,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-04,2,2015-03,0.03981,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-04,3,2015-08,0.060145,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-04,4,1982-02,0.060793,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-04,5,1984-05,0.103021,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-05,1,1983-07,0.033377,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-05,2,1982-03,0.041227,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-05,3,1983-06,0.041229,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-05,4,1982-05,0.041358,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-05,5,1983-05,0.042278,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-06,1,1982-02,0.005949,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-06,2,2015-03,0.033859,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-06,3,1984-05,0.053702,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-06,4,2015-08,0.054963,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-06,5,2015-01,0.066252,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-07,1,2017-09,0.050654,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-07,2,2017-08,0.068054,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-07,3,1997-01,0.078652,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-07,4,2015-12,0.091991,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-07,5,1994-10,0.108513,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-08,1,1992-07,0.061206,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-08,2,1994-05,0.065206,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-08,3,2016-08,0.081914,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-08,4,1994-10,0.127857,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-08,5,2011-12,0.160855,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-09,1,2011-06,0.036642,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-09,2,2016-08,0.088038,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-09,3,2018-04,0.12753,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-09,4,1994-05,0.15264,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-09,5,1994-04,0.15292,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
