channel,series,period_id,period_label,period_start,period_end,n_months_in_period,n_observed,coverage_fraction,available,unavailable_reason,mean,median,p90,max,min
pakistan_west,pctl_10y,p1979_1989,1979-1989,1979-01,1989-12,132,73,0.553,True,,62.727397,64.5,96.52,100.0,9.5
pakistan_west,pctl_10y,p1990_1999,1990-1999,1990-01,1999-12,120,120,1.0,True,,57.546667,57.1,93.47,100.0,5.9
pakistan_west,pctl_10y,p2000_2009,2000-2009,2000-01,2009-12,120,120,1.0,True,,55.953333,59.65,92.49,100.0,0.8
pakistan_west,pctl_10y,p2010_2019,2010-2019,2010-01,2019-12,120,92,0.7667,True,,35.748913,29.0,82.23,100.0,0.0
pakistan_west,raw_share,p1979_1989,1979-1989,1979-01,1989-12,132,132,1.0,True,,0.017356,0.01226,0.039256,0.13243,0.0
pakistan_west,raw_share,p1990_1999,1990-1999,1990-01,1999-12,120,120,1.0,True,,0.027042,0.016515,0.0585,0.24532,0.00128
pakistan_west,raw_share,p2000_2009,2000-2009,2000-01,2009-12,120,120,1.0,True,,0.047283,0.03834,0.084784,0.25623,0.0089
pakistan_west,raw_share,p2010_2019,2010-2019,2010-01,2019-12,120,120,1.0,True,,0.020918,0.01585,0.041062,0.07918,0.00669
china_east,pctl_10y,p1979_1989,1979-1989,1979-01,1989-12,132,73,0.553,True,,58.412329,54.8,84.8,100.0,34.5
china_east,pctl_10y,p1990_1999,1990-1999,1990-01,1999-12,120,120,1.0,True,,56.6375,52.9,90.88,100.0,23.5
china_east,pctl_10y,p2000_2009,2000-2009,2000-01,2009-12,120,120,1.0,True,,63.335833,67.6,94.27,100.0,6.7
china_east,pctl_10y,p2010_2019,2010-2019,2010-01,2019-12,120,92,0.7667,True,,46.361957,44.5,85.45,100.0,0.0
china_east,raw_share,p1979_1989,1979-1989,1979-01,1989-12,132,132,1.0,True,,0.006081,0.002765,0.014067,0.14455,0.0
china_east,raw_share,p1990_1999,1990-1999,1990-01,1999-12,120,120,1.0,True,,0.005054,0.002445,0.011239,0.06835,0.0
china_east,raw_share,p2000_2009,2000-2009,2000-01,2009-12,120,120,1.0,True,,0.011923,0.00684,0.02836,0.08408,0.00065
china_east,raw_share,p2010_2019,2010-2019,2010-01,2019-12,120,120,1.0,True,,0.008892,0.00627,0.017717,0.05992,0.00161
